id,time,cohort,knowledge,theories,biasworry,strategy,strat_know,strat_efficacy,strat_mot,centrality,respect,rank,gender_d,race_white,race_black,education_ba,yearsworked,frequency_black,frequency_hispanic,frequency_asian,frequency_gay,frequency_trans,facilduo_gender,facilduo_race,facilduo_le,facilduo_relatedle,facilduo_relatedle_nole,attendance,substitution,perspective,mindful
s3991,1,2,6.333333333333333,4.5,2,1.8,NA,NA,NA,5,3.5,1,0,1,0,1,21,5,5,3,5,3,mf,bw,0,1,1,50,1,3,4
s3991,2,2,5.666666666666667,4,4.6,3.4,4,3,3,5,3.5,1,0,1,0,1,21,5,5,3,5,3,mf,bw,0,1,1,50,3,5,6
s3999,1,2,1,7,1,1.2,NA,NA,NA,1,2.25,0,1,1,0,1,28,4,4,3,3,1,mm,bw,0,1,1,53,0,3,2
s3999,2,2,1,2.5,1,4.8,5,5,5,1,2.25,0,1,1,0,1,28,4,4,3,3,1,mm,bw,0,1,1,53,6,6,6
s4002,1,2,1,7,1,2.4,NA,NA,NA,5.666666666666667,5.75,0,1,1,0,1,8,5,3,3,3,3,mf,bw,0,1,1,50,0,2,3
s4002,2,2,3,6.5,2,3.4,4,4,4,5.666666666666667,5.75,0,1,1,0,1,8,5,3,3,3,3,mf,bw,0,1,1,50,3,4,3
s4010,1,2,4,7,1,1.4,NA,NA,NA,6.666666666666667,6.5,0,0,0,1,1,10,2,5,0,5,0,mm,bw,0,1,1,31,0,3,4
s4010,2,2,4.333333333333333,7,1,6,5,5,5,6.666666666666667,6.5,0,0,0,1,1,10,2,5,0,5,0,mm,bw,0,1,1,31,6,6,6
s4014,1,2,5,3,1,1,NA,NA,NA,4,5,0,1,0,0,1,20,4,4,3,3,3,mf,bw,0,0,0,54,1,1,1
s4014,2,2,5,5,4.2,2,4,4,4,4,5,0,1,0,0,1,20,4,4,3,3,3,mf,bw,0,0,0,54,0,3,1
s4015,1,2,1,7,1,0.6,NA,NA,NA,1,2.5,0,1,1,0,1,22,5,5,1,1,0,mf,bw,0,0,0,51,0,3,0
s4015,2,2,2,6.5,1,2.2,5,3,4,1,2.5,0,1,1,0,1,22,5,5,1,1,0,mf,bw,0,0,0,51,1,2,6
s4017,1,2,4,4,4,1,NA,NA,NA,4,4,1,NA,NA,NA,NA,23,3,3,3,3,3,NA,NA,NA,NA,NA,NA,2,2,1
s4017,2,2,5,4.5,4,1.8,4,3,4,4,4,1,NA,NA,NA,NA,23,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,2,2
s4021,1,2,5,2,2,2.8,NA,NA,NA,7,7,0,1,0,0,1,28,5,5,2,3,1,mm,bw,0,1,1,49,0,6,5
s4021,2,2,4,2,2,0,2,2,2,7,7,0,1,0,0,1,28,5,5,2,3,1,mm,bw,0,1,1,49,0,0,0
s4031,1,2,3.6666666666666665,3,1,4.8,NA,NA,NA,7,5.5,0,1,1,0,1,14,4,4,4,3,2,mm,bw,0,1,1,31,0,6,6
s4031,2,2,4,3,1,2.8,5,4,4,7,5.5,0,1,1,0,1,14,4,4,4,3,2,mm,bw,0,1,1,31,1,6,2
s4040,1,2,1,7,1,1.2,NA,NA,NA,4,7,1,1,NA,NA,1,19,4,4,4,4,3,mf,bw,1,1,0,52,0,2,0
s4040,2,2,4,4,4,0.8,3,3,3,4,7,1,1,NA,NA,1,19,4,4,4,4,3,mf,bw,1,1,0,52,0,1,1
s4062,1,2,3.6666666666666665,3,4,1.4,NA,NA,NA,6,5.5,0,0,0,1,1,4,5,5,5,5,1,ff,bw,1,1,0,37,1,1,2
s4062,2,2,5,2.5,5,3,5,5,5,6,5.5,0,0,0,1,1,4,5,5,5,5,1,ff,bw,1,1,0,37,3,3,3
s4066,1,2,1,7,1,1.2,NA,NA,NA,1,7,1,1,1,0,0,30,5,5,4,4,2,ff,bw,1,1,0,37,0,6,0
s4066,2,2,4.666666666666667,3,2.2,1.6,4,3,3,1,7,1,1,1,0,0,30,5,5,4,4,2,ff,bw,1,1,0,37,0,2,2
s4076,1,2,1,7,1,2,NA,NA,NA,5,5.5,0,0,1,0,0,31,5,5,4,5,5,mf,bw,0,1,1,49,0,4,0
s4076,2,2,4,7,1,0,5,3,1,5,5.5,0,0,1,0,0,31,5,5,4,5,5,mf,bw,0,1,1,49,0,0,0
s4077,1,2,1,6,1,0.8,NA,NA,NA,7,6.75,1,NA,NA,NA,NA,28,4,4,4,3,1,mf,bw,0,0,0,53,0,0,2
s4077,2,2,3.3333333333333335,6,1,3,4,3,4,7,6.75,1,NA,NA,NA,NA,28,4,4,4,3,1,mf,bw,0,0,0,53,3,3,3
s4086,1,2,7,5,2,5.4,NA,NA,NA,1,2.5,0,1,1,0,1,3,5,5,1,3,1,mm,bw,0,1,1,43,3,6,6
s4086,2,2,7,4.5,5,4.8,5,5,5,1,2.5,0,1,1,0,1,3,5,5,1,3,1,mm,bw,0,1,1,43,2,6,6
s4093,1,2,2.6666666666666665,4.5,5,3,NA,NA,NA,7,6,0,1,1,0,1,3,5,4,0,3,2,mm,bw,0,1,1,49,1,6,2
s4093,2,2,3,4.5,3.2,5.4,5,4,4,7,6,0,1,1,0,1,3,5,4,0,3,2,mm,bw,0,1,1,49,6,6,4
s4152,1,2,2,6.5,1,0,NA,NA,NA,1.3333333333333333,2.5,0,1,0,0,1,28,4,4,1,1,1,mf,bw,0,1,1,50,0,0,0
s4152,2,2,2,5.5,1,6,5,5,5,1.3333333333333333,2.5,0,1,0,0,1,28,4,4,1,1,1,mf,bw,0,1,1,50,6,6,6
s4154,1,2,3,5,1,3.8,NA,NA,NA,4,6,0,1,1,0,0,14,4,3,2,2,2,mm,bw,0,1,1,43,0,6,6
s4154,2,2,4,4,1,4.8,4,4,4,4,6,0,1,1,0,0,14,4,3,2,2,2,mm,bw,0,1,1,43,0,6,6
s4177,1,2,6.333333333333333,1,1,2.2,NA,NA,NA,5,7,0,1,0,0,0,25,5,5,1,1,0,mf,bw,0,0,0,53,6,2,3
s4177,2,2,1,7,1,3.4,5,5,5,5,7,0,1,0,0,0,25,5,5,1,1,0,mf,bw,0,0,0,53,5,5,1
s4184,1,2,1,7,1,3.6,NA,NA,NA,3,1,0,0,0,0,1,8,5,5,4,5,2,mf,ww,1,1,0,34,3,4,6
s4184,2,2,5.333333333333333,6,1.6,2.8,4,4,5,3,1,0,0,0,0,1,8,5,5,4,5,2,mf,ww,1,1,0,34,1,5,4
s4185,1,2,2,6,1,2.2,NA,NA,NA,4.333333333333333,6.5,1,0,0,0,1,28,4,4,3,3,3,ff,bw,1,1,0,11,2,3,3
s4185,2,2,3,7,4,6,5,5,5,4.333333333333333,6.5,1,0,0,0,1,28,4,4,3,3,3,ff,bw,1,1,0,11,6,6,6
s4187,1,2,3,7,1,4.4,NA,NA,NA,1,7,0,1,0,1,1,21,5,5,5,5,1,ff,bw,0,0,0,55,6,6,6
s4187,2,2,1,7,1,1.6,4,5,5,1,7,0,1,0,1,1,21,5,5,5,5,1,ff,bw,0,0,0,55,0,2,2
s4188,1,2,5.333333333333333,3,5,0.6,NA,NA,NA,7,7,1,0,1,0,1,21,4,4,1,3,1,mf,bw,0,0,0,38,0,2,1
s4188,2,2,5,5,4,3,4,3,3,7,7,1,0,1,0,1,21,4,4,1,3,1,mf,bw,0,0,0,38,3,3,3
s4194,1,2,1,7,1,2.4,NA,NA,NA,3.3333333333333335,4,NA,0,0,1,1,13,4,4,2,4,2,mf,bw,0,1,1,34,0,6,6
s4194,2,2,1,7,1,1.8,3,3,3,3.3333333333333335,4,NA,0,0,1,1,13,4,4,2,4,2,mf,bw,0,1,1,34,2,1,2
s4207,1,2,4,2.5,2.4,1.6,NA,NA,NA,4.333333333333333,1.75,0,1,0,0,0,21,4,4,1,1,0,mf,bw,0,1,1,34,3,3,2
s4207,2,2,5,2.5,4.6,2.8,3,3,3,4.333333333333333,1.75,0,1,0,0,0,21,4,4,1,1,0,mf,bw,0,1,1,34,2,3,3
s4217,1,2,3.6666666666666665,2.5,1.6,3.2,NA,NA,NA,6,5.5,0,1,0,0,1,3,5,1,0,3,3,NA,NA,NA,NA,NA,NA,1,6,4
s4217,2,2,1.6666666666666667,5,4.2,2.2,4,3,4,6,5.5,0,1,0,0,1,3,5,1,0,3,3,NA,NA,NA,NA,NA,NA,2,3,2
s4221,1,2,2.6666666666666665,5,3,2.8,NA,NA,NA,1,6,0,1,1,0,1,26,4,4,1,1,1,mf,bw,0,0,0,52,0,3,3
s4221,2,2,3.6666666666666665,5,3,0,2,2,2,1,6,0,1,1,0,1,26,4,4,1,1,1,mf,bw,0,0,0,52,0,0,0
s4225,1,2,4.333333333333333,3,1,2.6,NA,NA,NA,3,1.5,0,1,NA,NA,1,21,5,5,4,4,3,ff,bw,0,1,1,23,0,4,2
