id,time,cohort,frequency_black,frequency_hispanic,frequency_asian,frequency_gay,frequency_trans,respect,centrality,yearsworked,rank,race_white,race_black,gender_d,education_ba,attendance,facilduo_gender,facilduo_race,facilduo_le,facilduo_relatedle,facilduo_relatedle_nole,knowledge,theories,strategy,biasworry,strat_know,strat_efficacy,strat_mot
s3991,1,2,5,5,3,5,3,3.5,5,21,1,1,0,0,1,50,mf,bw,0,1,1,6.333333333333333,4.5,1.8,2,NA,NA,NA
s3991,2,2,5,5,3,5,3,3.5,5,21,1,1,0,0,1,50,mf,bw,0,1,1,5.666666666666667,4,3.4,4.6,4,3,3
s3991,3,2,5,5,3,5,3,3.5,5,21,1,1,0,0,1,50,mf,bw,0,1,1,3,6,2.6,2.4,4,3,4
s4014,1,2,4,4,3,3,3,5,4,20,0,0,0,1,1,54,mf,bw,0,0,0,5,3,1,1,NA,NA,NA
s4014,2,2,4,4,3,3,3,5,4,20,0,0,0,1,1,54,mf,bw,0,0,0,5,5,2,4.2,4,4,4
s4014,3,2,4,4,3,3,3,5,4,20,0,0,0,1,1,54,mf,bw,0,0,0,3,5.5,2.6,1.6,2,4,2
s4015,1,2,5,5,1,1,0,2.5,1,22,0,1,0,1,1,51,mf,bw,0,0,0,1,7,0.6,1,NA,NA,NA
s4015,2,2,5,5,1,1,0,2.5,1,22,0,1,0,1,1,51,mf,bw,0,0,0,2,6.5,2.2,1,5,3,4
s4015,3,2,5,5,1,1,0,2.5,1,22,0,1,0,1,1,51,mf,bw,0,0,0,2.3333333333333335,7,0,1,5,2,5
s4221,1,2,4,4,1,1,1,6,1,26,0,1,0,1,1,52,mf,bw,0,0,0,2.6666666666666665,5,2.8,3,NA,NA,NA
s4221,2,2,4,4,1,1,1,6,1,26,0,1,0,1,1,52,mf,bw,0,0,0,3.6666666666666665,5,0,3,2,2,2
s4221,3,2,4,4,1,1,1,6,1,26,0,1,0,1,1,52,mf,bw,0,0,0,4.333333333333333,5,0.4,2.2,4,4,4
s4237,1,2,5,4,1,3,1,7,5,22,1,0,0,1,1,52,mf,bw,1,1,0,2.6666666666666665,6,0,1,NA,NA,NA
s4237,2,2,5,4,1,3,1,7,5,22,1,0,0,1,1,52,mf,bw,1,1,0,1,4,0,1,5,2,1
s4237,3,2,5,4,1,3,1,7,5,22,1,0,0,1,1,52,mf,bw,1,1,0,1.3333333333333333,7,0,1,4,2,1
s4309,1,2,4,4,4,4,4,1,1,25,1,0,1,1,1,9,mf,bw,0,0,0,4.333333333333333,5,5,1,NA,NA,NA
s4309,2,2,4,4,4,4,4,1,1,25,1,0,1,1,1,9,mf,bw,0,0,0,6,5,5,5,5,5,5
s4309,3,2,4,4,4,4,4,1,1,25,1,0,1,1,1,9,mf,bw,0,0,0,4,5,5,1,5,5,5
s4317,1,2,3,3,3,3,3,5,2.6666666666666665,24,0,0,1,1,0,52,mf,bw,1,1,0,5,7,0,2,NA,NA,NA
s4317,2,2,3,3,3,3,3,5,2.6666666666666665,24,0,0,1,1,0,52,mf,bw,1,1,0,4,4,1.6,4,4,3,4
