id,time,cohort,strat_know,strat_efficacy,strat_mot,frequency_black,frequency_hispanic,frequency_asian,frequency_gay,frequency_trans,respect,centrality,yearsworked,rank,race_white,race_black,gender_d,knowledge,theories,strategy,biasworry,substitution,perspective,exposure,individuation,mindful
2-3-7-1-be,1,2,5,1,1,3,3,3,3,3,1,1,28,1,NA,NA,NA,1,7,0,1,0,0,0,0,0
2-3-7-1-be,3,2,5,1,1,3,3,3,3,3,1,1,28,1,NA,NA,NA,1,1,0,1,0,0,0,0,0
4-7-21-16-kn,1,2,4,3,3,5,5,3,3,2,4.5,4.333333333333333,27,1,1,0,1,2.3333333333333335,4,3.2,1,3,3,3,3,4
4-7-21-16-kn,3,2,4,3,3,5,5,3,3,2,4.5,4.333333333333333,27,1,1,0,1,2.3333333333333335,5,1.8,1,0,0,2,1,6
3-3-1-12-be,1,2,4,3,4,5,5,3,5,3,3.5,5,21,1,1,0,0,6.333333333333333,4.5,1.8,2,1,3,0,1,4
3-3-1-12-be,3,2,4,3,4,5,5,3,5,3,3.5,5,21,1,1,0,0,3,6,2.6,2.4,0,6,1,0,6
1-11-29-0-ru,1,2,4,3,2,5,5,4,4,3,4.5,4,28,0,1,0,0,4.666666666666667,5.5,0,5,0,0,0,0,0
1-11-29-0-ru,3,2,4,3,2,5,5,4,4,3,4.5,4,28,0,1,0,0,3.6666666666666665,6,0.6,4,0,3,0,0,0
4-4-2-12-oh,1,2,5,5,5,5,5,4,3,3,1,1,24,0,0,1,0,1,7,0.8,1,1,2,0,0,1
4-4-2-12-oh,3,2,5,5,5,5,5,4,3,3,1,1,24,0,0,1,0,2.3333333333333335,4.5,1.4,1,3,2,0,1,1
7-1-31-18-wi,1,2,5,5,3,4,4,3,3,3,5.25,5.666666666666667,27,1,NA,NA,NA,1,7,0.4,1,0,1,0,0,1
7-1-31-18-wi,3,2,5,5,3,4,4,3,3,3,5.25,5.666666666666667,27,1,NA,NA,NA,1,7,2.6,1,0,6,2,2,3
2-2-17-0-be,1,2,2,4,2,4,4,3,3,3,5,4,20,0,0,0,1,5,3,1,1,1,1,1,1,1
2-2-17-0-be,3,2,2,4,2,4,4,3,3,3,5,4,20,0,0,0,1,3,5.5,2.6,1.6,2,6,0,2,3
4-3-28-10-ki,1,2,5,2,5,5,5,1,1,0,2.5,1,22,0,1,0,1,1,7,0.6,1,0,3,0,0,0
4-3-28-10-ki,3,2,5,2,5,5,5,1,1,0,2.5,1,22,0,1,0,1,2.3333333333333335,7,0,1,0,0,0,0,0
1-12-26-11-ok,1,2,3,3,3,4,4,3,3,2,4.75,4,7,0,1,0,1,1,4,4.2,1,0,6,3,6,6
1-12-26-11-ok,3,2,3,3,3,4,4,3,3,2,4.75,4,7,0,1,0,1,4,4,0,4,0,0,0,0,0
0-10-14-19-gr,1,2,5,5,5,5,5,5,5,1,5.5,6,4,0,0,1,0,3.6666666666666665,3,1.4,4,1,1,2,1,2
0-10-14-19-gr,3,2,5,5,5,5,5,5,5,1,5.5,6,4,0,0,1,0,5,2,0.8,5,1,1,0,1,1
3-11-20-5-wi,1,2,5,3,3,4,4,2,2,2,3.5,5,21,0,1,0,1,1,6,2.8,1,4,4,1,1,4
3-11-20-5-wi,3,2,5,3,3,4,4,2,2,2,3.5,5,21,0,1,0,1,1,7,0,1,0,0,0,0,0
4-13-29-13-na,1,2,3,1,1,5,5,4,5,5,5.5,5,31,0,1,0,0,1,7,2,1,0,4,0,6,0
4-13-29-13-na,3,2,3,1,1,5,5,4,5,5,5.5,5,31,0,1,0,0,1,7,0,1,0,0,0,0,0
6-1-5-9-ma,1,2,4,4,3,4,4,3,3,3,6.5,4.333333333333333,28,1,0,0,0,2,6,2.2,1,2,3,0,3,3
6-1-5-9-ma,3,2,4,4,3,4,4,3,3,3,6.5,4.333333333333333,28,1,0,0,0,1,7,1.4,1,0,0,0,4,3
1-4-5-13-no,1,2,4,4,4,4,4,1,1,1,6,1,26,0,1,0,1,2.6666666666666665,5,2.8,3,0,3,3,5,3
1-4-5-13-no,3,2,4,4,4,4,4,1,1,1,6,1,26,0,1,0,1,4.333333333333333,5,0.4,2.2,0,2,0,0,0
4-13-10-1-sa,1,2,4,2,1,5,4,1,3,1,7,5,22,1,0,0,1,2.6666666666666665,6,0,1,0,0,0,0,0
4-13-10-1-sa,3,2,4,2,1,5,4,1,3,1,7,5,22,1,0,0,1,1.3333333333333333,7,0,1,0,0,0,0,0
1-3-12-3-ti,1,2,4,4,4,5,3,1,1,0,5,5.666666666666667,2,0,1,0,1,3.6666666666666665,5.5,2.4,1,0,3,2,3,4
1-3-12-3-ti,3,2,4,4,4,5,3,1,1,0,5,5.666666666666667,2,0,1,0,1,2.3333333333333335,6.5,2.8,1,3,2,3,3,3
1-11-1-1-13,1,2,4,3,4,4,4,2,3,3,3.5,5,24,1,1,0,1,2,6.5,1.8,3.2,0,0,1,4,4
1-11-1-1-13,3,2,4,3,4,4,4,2,3,3,3.5,5,24,1,1,0,1,4.333333333333333,5.5,0,2.6,0,0,0,0,0
5-1-27-0-17,1,2,5,4,3,5,5,1,3,2,4,6.333333333333333,21,0,0,0,1,1,6,2.8,1,4,3,1,0,6
5-1-27-0-17,3,2,5,4,3,5,5,1,3,2,4,6.333333333333333,21,0,0,0,1,1,4,0.6,1,1,1,0,0,1
3-19-24-5-em,1,2,5,5,5,4,4,4,4,4,1,1,25,1,0,1,1,4.333333333333333,5,5,1,5,5,5,5,5
3-19-24-5-em,3,2,5,5,5,4,4,4,4,4,1,1,25,1,0,1,1,4,5,5,1,5,5,5,5,5
2-16-8-11-46,1,2,4,3,3,3,3,3,3,3,5,2.6666666666666665,24,0,0,1,1,5,7,0,2,0,0,0,0,0
2-16-8-11-46,3,2,4,3,3,3,3,3,3,3,5,2.6666666666666665,24,0,0,1,1,4.666666666666667,6,0,2.8,0,0,0,0,0
1-12-1-12-tr,1,2,4,4,4,5,5,1,4,3,5.25,5.333333333333333,14,NA,1,0,0,1,5,1.8,1,2,1,0,0,6
1-12-1-12-tr,3,2,4,4,4,5,5,1,4,3,5.25,5.333333333333333,14,NA,1,0,0,4,4,3,4,3,3,3,3,3
9-14-6-2-ne,1,2,2,1,1,5,4,3,4,4,5.75,6.333333333333333,27,1,NA,NA,1,3.3333333333333335,6.5,4.4,1,3,4,4,6,5
9-14-6-2-ne,3,2,2,1,1,5,4,3,4,4,5.75,6.333333333333333,27,1,NA,NA,1,1.6666666666666667,7,0,1,0,0,0,0,0
4-13-21-0-ki,1,2,5,2,2,5,5,2,3,1,7,4.333333333333333,29,1,1,0,1,2,5,0,1,0,0,0,0,0
4-13-21-0-ki,3,2,5,2,2,5,5,2,3,1,7,4.333333333333333,29,1,1,0,1,3,4,0,1,0,0,0,0,0
2-10-3-23-sp,1,2,3,3,3,4,3,1,1,1,7,5.333333333333333,27,1,1,0,1,5,3,2.4,1,2,4,2,2,2
2-10-3-23-sp,3,2,3,3,3,4,3,1,1,1,7,5.333333333333333,27,1,1,0,1,4,4,0,4,0,0,0,0,0
7-3-27-0-la,1,2,5,5,5,2,2,2,2,2,1,4,14,0,1,0,1,1,7,0,1,0,0,0,0,0
7-3-27-0-la,3,2,5,5,5,2,2,2,2,2,1,4,14,0,1,0,1,1,7,0.2,1,0,0,1,0,0
1-10-18-14-se,1,2,3,3,3,4,3,2,4,3,6,4,29,0,1,0,1,5,4,2,4,2,2,2,2,2
1-10-18-14-se,3,2,3,3,3,4,3,2,4,3,6,4,29,0,1,0,1,4,4,2,4,2,2,2,2,2
