id,cohort,knowledge.t1,theories.t1,biasworry.t1,strategy_use,knowledge.t2,theories.t2,biasworry.t2,strategy_intend,strat.t2,centrality,respect,rank,gender_d,race,race_white,race_black,education,education_ba,yearsworked,yearsworked_5y,yearsworked_10y,frequency_white,frequency_black,frequency_asian,frequency_hispanic,frequency_gay,frequency_trans,facilduo_gender,facilduo_race,facilduo_le,facilduo_relatedle,facilduo_relatedle_nole,attendance,session_year,session_month,session_day,substitution_use,perspective_use,exposure_use,individuation_use,mindful_use,substitution_intend,perspective_intend,exposure_intend,individuation_intend,mindful_intend,knowledge_bias.t1,knowledge_race.t1,knowledge_culture.t1,theories1.t1,theories2.t1,knowledge_bias.t2,knowledge_race.t2,knowledge_culture.t2,theories1.t2,theories2.t2,biasworry_white.t1,biasworry_black.t1,biasworry_asian.t1,biasworry_hispanic.t1,biasworry_lgb.t1,biasworry_trans.t1,biasworry_white.t2,biasworry_black.t2,biasworry_asian.t2,biasworry_hispanic.t2,biasworry_lgb.t2,biasworry_trans.t2,strat_know.t2,strat_efficacy.t2,strat_mot.t2,centrality1,centrality2,centrality3,respect1,respect2,respect3,respect4
s3991,2,6.333333333333333,4.5,2,1.8,5.666666666666667,4,4.6,3.4,3.3333333333333335,5,3.5,1,0,white,1,0,Graduate degree,1,21,1,1,5,5,3,5,5,3,mf,bw,0,1,1,50,2020,11,6,1,3,0,1,4,3,5,1,2,6,7,5,7,3,6,6,5,6,2,6,2,2,2,2,2,2,5,5,5,5,3,5,4,3,3,6,5,4,4,5,4,1
s3999,2,1,7,1,1.2,1,2.5,1,4.8,5,1,2.25,0,1,white,1,0,Bachelors degree,1,28,1,1,4,4,3,4,3,1,mm,bw,0,1,1,53,2020,11,25,0,3,0,1,2,6,6,0,6,6,1,1,1,7,7,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,6
s4002,2,1,7,1,2.4,3,6.5,2,3.4,4,5.666666666666667,5.75,0,1,white,1,0,Graduate degree,1,8,1,0,3,5,3,3,3,3,mf,bw,0,1,1,50,2020,11,6,0,2,4,3,3,3,4,3,4,3,1,1,1,7,7,3,3,3,6,7,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,6,6,5,5,6,6,6
s4010,2,4,7,1,1.4,4.333333333333333,7,1,6,5,6.666666666666667,6.5,0,0,black,0,1,Graduate degree,1,10,1,0,5,2,0,5,5,0,mm,bw,0,1,1,31,2020,12,21,0,3,0,0,4,6,6,6,6,6,5,2,5,7,7,3,4,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,6,7,7,5,7,7,7
s4014,2,5,3,1,1,5,5,4.2,2,4,4,5,0,1,asian,0,0,Graduate degree,1,20,1,1,2,4,3,4,3,3,mf,bw,0,0,0,54,2020,10,28,1,1,1,1,1,0,3,4,2,1,5,5,5,3,3,5,5,5,5,5,1,1,1,1,1,1,4,5,3,3,5,5,4,4,4,4,4,4,5,5,5,5
s4015,2,1,7,1,0.6,2,6.5,1,2.2,4,1,2.5,0,1,white,1,0,Bachelors degree,1,22,1,1,5,5,1,5,1,0,mf,bw,0,0,0,51,2020,11,20,0,3,0,0,0,1,2,0,2,6,1,1,1,7,7,2,2,2,6,7,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,1,1,1,1,1,7,1
s4017,2,4,4,4,1,5,4.5,4,1.8,3.6666666666666665,4,4,1,NA,NA,NA,NA,NA,NA,23,1,1,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,1,1,2,2,2,2,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
s4021,2,5,2,2,2.8,4,2,2,0,2,7,7,0,1,hispanic,0,0,Bachelors degree,1,28,1,1,4,5,2,5,3,1,mm,bw,0,1,1,49,2020,10,27,0,6,3,0,5,0,0,0,0,0,5,5,5,2,2,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7
s4031,2,3.6666666666666665,3,1,4.8,4,3,1,2.8,4.333333333333333,7,5.5,0,1,white,1,0,Bachelors degree,1,14,1,1,4,4,4,4,3,2,mm,bw,0,1,1,31,2020,12,21,0,6,6,6,6,1,6,3,2,2,5,5,1,3,3,5,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,7,7,7,5,6,5,6
s4040,2,1,7,1,1.2,4,4,4,0.8,3,4,7,1,1,NA,NA,NA,Bachelors degree,1,19,1,1,4,4,4,4,4,3,mf,bw,1,1,0,52,2020,11,4,0,2,2,2,0,0,1,1,1,1,1,1,1,7,7,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,4,4,4,7,7,7,7
s4062,2,3.6666666666666665,3,4,1.4,5,2.5,5,3,5,6,5.5,0,0,black,0,1,Bachelors degree,1,4,0,0,5,5,5,5,5,1,ff,bw,1,1,0,37,2020,10,22,1,1,2,1,2,3,3,3,3,3,4,4,3,3,3,5,5,5,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,5,6,6,5
s4066,2,1,7,1,1.2,4.666666666666667,3,2.2,1.6,3.3333333333333335,1,7,1,1,white,1,0,Some college,0,30,1,1,5,5,4,5,4,2,ff,bw,1,1,0,37,2020,10,22,0,6,0,0,0,0,2,2,2,2,1,1,1,7,7,5,5,4,3,3,1,1,1,1,1,1,2,2,2,3,2,2,4,3,3,1,1,1,7,7,7,7
s4076,2,1,7,1,2,4,7,1,0,3,5,5.5,0,0,white,1,0,Some college,0,31,1,1,5,5,4,5,5,5,mf,bw,0,1,1,49,2020,10,26,0,4,0,6,0,0,0,0,0,0,1,1,1,7,7,4,4,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,7,7,1,7,7,7
s4077,2,1,6,1,0.8,3.3333333333333335,6,1,3,3.6666666666666665,7,6.75,1,NA,NA,NA,NA,NA,NA,28,1,1,5,4,4,4,3,1,mf,bw,0,0,0,53,2020,11,11,0,0,0,2,2,3,3,3,3,3,1,1,1,6,6,6,2,2,6,6,1,1,1,1,1,1,4,1,1,1,1,1,4,3,4,7,7,7,7,7,7,6
