id,cohort,knowledge.t1,theories.t1,biasworry.t1,strategy_use,knowledge.t3,theories.t3,biasworry.t3,strategy_used,strat.t3,centrality,respect,rank,gender_d,race,race_white,race_black,education,education_ba,yearsworked,yearsworked_5y,yearsworked_10y,frequency_white,frequency_black,frequency_asian,frequency_hispanic,frequency_gay,frequency_trans,substitution_use,perspective_use,exposure_use,individuation_use,mindful_use,substitution_used,perspective_used,exposure_used,individuation_used,mindful_used,knowledge_bias.t1,knowledge_race.t1,knowledge_culture.t1,theories1.t1,theories2.t1,knowledge_bias.t3,knowledge_race.t3,knowledge_culture.t3,theories1.t3,theories2.t3,biasworry_white.t1,biasworry_black.t1,biasworry_asian.t1,biasworry_hispanic.t1,biasworry_lgb.t1,biasworry_trans.t1,biasworry_black.t3,biasworry_asian.t3,biasworry_hispanic.t3,biasworry_lgb.t3,biasworry_trans.t3,strat_know.t3,strat_efficacy.t3,strat_mot.t3,centrality1,centrality2,centrality3,respect1,respect2,respect3,respect4
2-3-7-1-be,2,1,7,1,0,1,1,1,0,2.3333333333333335,1,1,1,NA,NA,NA,NA,NA,NA,28,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1
4-7-21-16-kn,2,2.3333333333333335,4,1,3.2,2.3333333333333335,5,1,1.8,3.3333333333333335,4.333333333333333,4.5,1,1,1,1,0,4,0,27,1,1,4,5,3,5,3,2,3,3,3,3,4,0,0,2,1,6,5,1,1,4,4,3,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,5,5,4,4,5,5
3-3-1-12-be,2,6.333333333333333,4.5,2,1.8,3,6,2.4,2.6,3.6666666666666665,5,3.5,1,0,1,1,0,6,1,21,1,1,5,5,3,5,5,3,1,3,0,1,4,0,6,1,0,6,7,5,7,3,6,5,2,2,6,6,2,2,2,2,2,2,2,2,2,1,5,4,3,4,6,5,4,4,5,4,1
1-11-29-0-ru,2,4.666666666666667,5.5,5,0,3.6666666666666665,6,4,0.6,3,4,4.5,0,0,1,1,0,5,1,28,1,1,5,5,4,5,4,3,0,0,0,0,0,0,3,0,0,0,5,5,4,5,6,4,3,4,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,2,4,4,4,4,5,5,4
4-4-2-12-oh,2,1,7,1,0.8,2.3333333333333335,4.5,1,1.4,5,1,1,0,0,2,0,1,3,0,24,1,1,5,5,4,5,3,3,1,2,0,0,1,3,2,0,1,1,1,1,1,7,7,5,1,1,2,7,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1
7-1-31-18-wi,2,1,7,1,0.4,1,7,1,2.6,4.333333333333333,5.666666666666667,5.25,1,NA,NA,NA,NA,5,1,27,1,1,4,4,3,4,3,3,0,1,0,0,1,0,6,2,2,3,1,1,1,7,7,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,5,5,3,6,7,4,5,6,6,4
2-2-17-0-be,2,5,3,1,1,3,5.5,1.6,2.6,2.6666666666666665,4,5,0,1,4,0,0,6,1,20,1,1,2,4,3,4,3,3,1,1,1,1,1,2,6,0,2,3,5,5,5,3,3,5,1,3,5,6,1,1,1,1,1,1,1,1,1,3,2,2,4,2,4,4,4,5,5,5,5
4-3-28-10-ki,2,1,7,1,0.6,2.3333333333333335,7,1,0,4,1,2.5,0,1,1,1,0,5,1,22,1,1,5,5,1,5,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,7,7,2,2,3,7,7,1,1,1,1,1,1,1,1,1,1,1,5,2,5,1,1,1,1,1,7,1
1-12-26-11-ok,2,1,4,1,4.2,4,4,4,0,3,4,4.75,0,1,1,1,0,6,1,7,1,0,4,4,3,4,3,2,0,6,3,6,6,0,0,0,0,0,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,3,3,3,4,4,4,5,5,5,4
0-10-14-19-gr,2,3.6666666666666665,3,4,1.4,5,2,5,0.8,5,6,5.5,0,0,2,0,1,5,1,4,0,0,5,5,5,5,5,1,1,1,2,1,2,1,1,0,1,1,4,4,3,3,3,5,5,5,2,2,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,5,6,6,5
3-11-20-5-wi,2,1,6,1,2.8,1,7,1,0,3.6666666666666665,5,3.5,0,1,1,1,0,6,1,21,1,1,3,4,2,4,2,2,4,4,1,1,4,0,0,0,0,0,1,1,1,6,6,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,5,3,3,4,7,4,4,4,4,2
4-13-29-13-na,2,1,7,1,2,1,7,1,0,1.6666666666666667,5,5.5,0,0,1,1,0,3,0,31,1,1,5,5,4,5,5,5,0,4,0,6,0,0,0,0,0,0,1,1,1,7,7,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,7,7,1,7,7,7
6-1-5-9-ma,2,2,6,1,2.2,1,7,1,1.4,3.6666666666666665,4.333333333333333,6.5,1,0,3,0,0,6,1,28,1,1,3,4,3,4,3,3,2,3,0,3,3,0,0,0,4,3,4,1,1,6,6,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,5,5,7,7,6,6
1-4-5-13-no,2,2.6666666666666665,5,3,2.8,4.333333333333333,5,2.2,0.4,4,1,6,0,1,1,1,0,6,1,26,1,1,2,4,1,4,1,1,0,3,3,5,3,0,2,0,0,0,3,3,2,5,5,6,4,3,5,5,3,3,3,3,3,3,3,2,2,2,2,4,4,4,1,1,1,6,7,5,6
4-13-10-1-sa,2,2.6666666666666665,6,1,0,1.3333333333333333,7,1,0,2.3333333333333335,5,7,1,1,3,0,0,6,1,22,1,1,4,5,1,4,3,1,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,1,1,2,7,7,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,5,6,7,7,7,7
1-3-12-3-ti,2,3.6666666666666665,5.5,1,2.4,2.3333333333333335,6.5,1,2.8,4,5.666666666666667,5,0,1,1,1,0,5,1,2,0,0,2,5,1,3,1,0,0,3,2,3,4,3,2,3,3,3,4,2,5,5,6,4,2,1,7,6,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,6,5,5,6,5,4
1-11-1-1-13,2,2,6.5,3.2,1.8,4.333333333333333,5.5,2.6,0,3.6666666666666665,5,3.5,1,1,1,1,0,6,1,24,1,1,3,4,2,4,3,3,0,0,1,4,4,0,0,0,0,0,4,1,1,7,6,6,3,4,6,5,1,3,2,2,4,5,5,2,2,2,2,4,3,4,5,5,5,4,4,4,2
5-1-27-0-17,2,1,6,1,2.8,1,4,1,0.6,4,6.333333333333333,4,0,1,3,0,0,6,1,21,1,1,1,5,1,5,3,2,4,3,1,0,6,1,1,0,0,1,1,1,1,6,6,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,5,4,3,6,7,6,4,4,4,4
3-19-24-5-em,2,4.333333333333333,5,1,5,4,5,1,5,5,1,1,1,1,2,0,1,6,1,25,1,1,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,7,5,3,7,4,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1
2-16-8-11-46,2,5,7,2,0,4.666666666666667,6,2.8,0,3.3333333333333335,2.6666666666666665,5,0,1,2,0,1,3,0,24,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,7,2,6,7,7,4,5,5,6,6,2,2,2,2,2,2,2,2,2,4,4,4,3,3,1,5,2,2,6,6,6
1-12-1-12-tr,2,1,5,1,1.8,4,4,4,3,4,5.333333333333333,5.25,NA,0,1,1,0,6,1,14,1,1,5,5,1,5,4,3,2,1,0,0,6,3,3,3,3,3,1,1,1,3,7,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,6,6,4,6,6,5
