date,datayear,title,description,subject,categories,url
2023-02-03,2020,Galaxy mass prediction,Galaxies span a range of masses. Can students learn a statistical model that associates a galaxy’s mass with its brightness as measured at six wavelengths along with an estimate of its distance from the Earth?,astronomy,"linear regression, nonparametric regression",https://cmustatistics.github.io/data-repository/astronomy/buzzard.html
2025-11-05,2025,Effect of AI on programming productivity,Software engineers rapidly adopted generative AI tools to help write code. This randomized experiment evaluates whether AI use reduces the time required to complete tasks.,technology,"hierarchical model, EDA",https://cmustatistics.github.io/data-repository/technology/metr-ai.html
2024-06-25,2018,Bias in soccer refereeing,"Are dark-skinned soccer players more likely to receive red cards than those with light skin? Use observational data on several thousand players and referees to examine the association. This data was used in the Many Analysts, One Data Set project exploring how different analysis teams produce different statistical results.",psychology,GLMs,https://cmustatistics.github.io/data-repository/psychology/many-analysts.html
2023-07-25,2019,Nightly sleep time and GPA in first-years,Does nightly sleep duration predict change in end-of-semester grade point average (GPA)? First-year college students from three independent universities provided sleep actigraphy for a month early in their spring academic term across five studies.,psychology,"ANOVA, linear regression",https://cmustatistics.github.io/data-repository/psychology/cmu-sleep.html
2025-08-22,2021,Stress and cognitive-effort avoidance,Cognitive performance is diminished when we’re highly stressed. This experiment tried to evaluate whether this is because stressed subjects choose to avoid tasks that require cognitive effort. Use mixed effects models to evaluate the experimental results.,psychology,"experimental design, hierarchical model, logistic regression",https://cmustatistics.github.io/data-repository/psychology/stress-effort.html
2025-11-09,2023,Physical healing and time perception,"If the body affects the mind and the mind affects the body, it should by possible to influence the body by influencing the mind. This study manipulated perception of time to see if perceived, not actual, time would influence the rate at which wounds heal. Reinterpret a psychological experiment using linear and mixed models.",psychology,"linear regression, hierarchical model",https://cmustatistics.github.io/data-repository/psychology/healing-time.html
2022-11-04,2022,Makeup and male attractiveness,"Makeup is often used by women, but does makeup make men more attractive? This study had participants rate photos of men with and without makeup on.",psychology,"ANOVA, linear regression, hierarchical model",https://cmustatistics.github.io/data-repository/psychology/male-makeup.html
2018-06-18,2018,Testosterone and diversity,"When students work on group projects, they work better when their groups are diverse. This study asked if that depends on the testosterone level of the group, and if high-testosterone groups benefit less from diversity.",psychology,linear regression,https://cmustatistics.github.io/data-repository/psychology/hormone-diversity.html
2017-06-14,2017,Sugary drinks and portion limits,Public health officials are interested in policies that would reduce consumption of sugary drinks. What policies work and what policies backfire? A factorial experiment.,psychology,"ANOVA, logistic regression",https://cmustatistics.github.io/data-repository/psychology/sugary-drinks.html
2019-09-01,2019,Serving sizes and plate sizes,Do people eat more food if their meals are served on larger plates? A randomized experiment with demographic and psychological control variables.,psychology,"ANOVA, linear regression",https://cmustatistics.github.io/data-repository/psychology/plate-size.html
