Student ID,Class,Year,Session,Grader,Part2Tot,Part3Tot,Survey Q1,Survey Q2,Survey Q3,Survey Q4,Survey Q5,gpa_prev,GPTBase,GPTTutor,teacher,n_household_members,class_enjoyment,class_participation_likelihood,n_weekday_study_hours,n_weekend_study_hours,math_hw_completion,hw_help,private_tutorship,visit_training_center,chatgpt_use,Treatment arm,female,education_parent,n_household_children,Honors
100426,11V,11,2,2,0.2,0.325,Moderately,Average,20-25 min,Effective,10-15 min,0.636628,0,0,teacher_13,5,4,4,3,5,3,0,1,0,1,control,0,0,2,0
100426,11V,11,4,7,0.2,0.325,Moderately,Average,10-15 min,Neutral,15-20 min,0.636628,0,0,teacher_13,5,4,4,3,5,3,0,1,0,1,control,0,0,2,0
100426,11V,11,3,5,0.2,0.425,Moderately,Average,15-20 min,Neutral,10-15 min,0.636628,0,0,teacher_13,5,4,4,3,5,3,0,1,0,1,control,0,0,2,0
100426,11V,11,1,3,0,0.17708333333333331,Quite a lot,Below average,25-30 min,Neutral,15-20 min,0.636628,0,0,teacher_13,5,4,4,3,5,3,0,1,0,1,control,0,0,2,0
110399,11N,11,4,6,0.6,0.3625,A litttle,Very poorly,25-30 min,Somewhat ineffective,25-30 min,0.679718,0,1,teacher_5,2,2,2,1.3,2.3,2,1,1,1,0,augmented,1,2,1,0
110399,11N,11,3,5,1,0.35,Moderately,Below average,20-25 min,Somewhat effective,25-30 min,0.679718,0,1,teacher_5,2,2,2,1.3,2.3,2,1,1,1,0,augmented,1,2,1,0
110399,11N,11,1,3,0.5,0.7222222222222222,A litttle,Very poorly,15-20 min,Ineffective,25-30 min,0.679718,0,1,teacher_5,2,2,2,1.3,2.3,2,1,1,1,0,augmented,1,2,1,0
110399,11N,11,2,1,0.8,0,Nothing at all,Very poorly,20-25 min,Ineffective,20-25 min,0.679718,0,1,teacher_5,2,2,2,1.3,2.3,2,1,1,1,0,augmented,1,2,1,0
110401,11G,11,4,7,0.6,0.5583333333333333,Quite a lot,Average,10-15 min,Somewhat effective,NA,0.8791030000000001,0,0,teacher_11,4,3,3,2,4,4,1,1,0,1,control,1,7,2,0
110401,11G,11,1,8,1,1,Quite a lot,Above average,10-15 min,Somewhat effective,5-10 min,0.8791030000000001,0,0,teacher_11,4,3,3,2,4,4,1,1,0,1,control,1,7,2,0
110401,11G,11,3,4,0.6,0.825,Moderately,Average,5-10 min,Neutral,NA,0.8791030000000001,0,0,teacher_11,4,3,3,2,4,4,1,1,0,1,control,1,7,2,0
110401,11G,11,2,1,0.6,0.6791666666666666,Quite a lot,Average,20-25 min,Somewhat effective,10-15 min,0.8791030000000001,0,0,teacher_11,4,3,3,2,4,4,1,1,0,1,control,1,7,2,0
110407,11M,11,2,6,0.8,0.04583333333333334,A litttle,Excellent,20-25 min,Neutral,10-15 min,0.583205,0,0,teacher_19,4,0,0,0,0,1,0,1,1,3,control,1,4,4,0
110407,11M,11,1,9&10,0.75,0.53125,Nothing at all,Excellent,20-25 min,Neutral,10-15 min,0.583205,0,0,teacher_19,4,0,0,0,0,1,0,1,1,3,control,1,4,4,0
110415,11S,11,1,8,0.25,0.4350198412698413,A litttle,Very poorly,20-25 min,NA,20-25 min,0.647244,1,0,teacher_8,4,3,0,2,4,3,1,0,1,0,vanilla,1,6,1,0
110415,11S,11,2,2,0,0.12708333333333333,A litttle,Average,25-30 min,NA,NA,0.647244,1,0,teacher_8,4,3,0,2,4,3,1,0,1,0,vanilla,1,6,1,0
110415,11S,11,3,4,0,0.275,NA,NA,NA,NA,NA,0.647244,1,0,teacher_8,4,3,0,2,4,3,1,0,1,0,vanilla,1,6,1,0
110415,11S,11,4,6,0,0.025,Nothing at all,Very poorly,25-30 min,NA,NA,0.647244,1,0,teacher_8,4,3,0,2,4,3,1,0,1,0,vanilla,1,6,1,0
110432,11O,11,2,1&2,0.8,0.825,Nothing at all,Very poorly,NA,NA,NA,0.816423,0,1,teacher_6,3,3,2,2,4,4,1,1,0,2,augmented,0,8,0,0
110432,11O,11,3,6,1,0.875,A great deal,Excellent,0-5 min,Effective,0-5 min,0.816423,0,1,teacher_6,3,3,2,2,4,4,1,1,0,2,augmented,0,8,0,0
110432,11O,11,1,9&10,1,0.7777777777777778,Quite a lot,Above average,10-15 min,Ineffective,0-5 min,0.816423,0,1,teacher_6,3,3,2,2,4,4,1,1,0,2,augmented,0,8,0,0
110432,11O,11,4,7,1,0.17708333333333334,Nothing at all,Very poorly,0-5 min,Ineffective,0-5 min,0.816423,0,1,teacher_6,3,3,2,2,4,4,1,1,0,2,augmented,0,8,0,0
110433,11N,11,3,5,0.8,0.375,NA,NA,NA,NA,NA,0.774872,0,1,teacher_5,4,2,3,2,4,2,0,1,1,1,augmented,1,8,1,0
110433,11N,11,4,6,0.6,0,A litttle,Below average,25-30 min,Somewhat ineffective,25-30 min,0.774872,0,1,teacher_5,4,2,3,2,4,2,0,1,1,1,augmented,1,8,1,0
110433,11N,11,1,3,0,0.6160714285714286,Moderately,Very poorly,15-20 min,Neutral,10-15 min,0.774872,0,1,teacher_5,4,2,3,2,4,2,0,1,1,1,augmented,1,8,1,0
110433,11N,11,2,1,0,0,Moderately,Very poorly,15-20 min,Neutral,10-15 min,0.774872,0,1,teacher_5,4,2,3,2,4,2,0,1,1,1,augmented,1,8,1,0
110436,11Ü,11,2,2,0.6,0.05625,A litttle,Very poorly,25-30 min,Ineffective,25-30 min,0.740564,0,1,teacher_15,3,2,2,0,0,2,0,0,1,0,augmented,0,8,3,0
110436,11Ü,11,4,6,0.8,0,Moderately,Above average,0-5 min,Neutral,15-20 min,0.740564,0,1,teacher_15,3,2,2,0,0,2,0,0,1,0,augmented,0,8,3,0
110436,11Ü,11,1,3,0.5,0.25,Moderately,Below average,15-20 min,Somewhat effective,15-20 min,0.740564,0,1,teacher_15,3,2,2,0,0,2,0,0,1,0,augmented,0,8,3,0
110443,11G,11,2,1,0,0.275,A litttle,Very poorly,25-30 min,Somewhat ineffective,15-20 min,0.897521,0,0,teacher_11,2,2,2,0,2,2,1,1,0,0,control,1,6,0,0
110443,11G,11,1,8,0.25,1,Quite a lot,Above average,5-10 min,Effective,5-10 min,0.897521,0,0,teacher_11,2,2,2,0,2,2,1,1,0,0,control,1,6,0,0
110443,11G,11,3,4,0.2,0.575,A litttle,Very poorly,0-5 min,Somewhat ineffective,10-15 min,0.897521,0,0,teacher_11,2,2,2,0,2,2,1,1,0,0,control,1,6,0,0
110444,11G,11,4,7,0.2,0.07083333333333333,Moderately,Very poorly,15-20 min,Somewhat effective,NA,0.852038,0,0,teacher_11,4,2,3,2,6,3,1,1,1,1,control,0,8,1,0
110444,11G,11,1,8,1,0.9722222222222222,A litttle,Below average,15-20 min,Somewhat effective,NA,0.852038,0,0,teacher_11,4,2,3,2,6,3,1,1,1,1,control,0,8,1,0
110444,11G,11,2,1,0.4,0.5041666666666667,Moderately,Below average,15-20 min,Neutral,NA,0.852038,0,0,teacher_11,4,2,3,2,6,3,1,1,1,1,control,0,8,1,0
110444,11G,11,3,4,0.6,0.75,Moderately,Average,5-10 min,Somewhat effective,NA,0.852038,0,0,teacher_11,4,2,3,2,6,3,1,1,1,1,control,0,8,1,0
