"HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common.name","Maximum.longevity.yrs","Body.mass.g","Metabolic.rate","Temperature"
3,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia","pulicaria","Daphnia",0.19,NA,NA,NA
5,"Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","melanogaster","Fruit fly",0.3,NA,NA,NA
6,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","mellifera","Honey bee",8,NA,NA,NA
8,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Cardiocondyla","obscurior","Cardiocondyla obscurior",0.5,NA,NA,NA
9,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","niger","Black garden ant",28,NA,NA,NA
10,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","dentata","Pheidole dentata",0.4,NA,NA,NA
11,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Bicyclus","anynana","Squinting bush brown",0.5,NA,NA,NA
12,"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","americanus","American lobster",100,NA,NA,NA
15,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","bombina","Firebelly toad",20,NA,NA,NA
16,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","orientalis","Oriental firebelly toad",15.8,NA,NA,NA
17,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","variegata","Yellow-bellied toad",29,NA,NA,NA
18,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","americanus","American toad",36,21.6,0.00829,288
19,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","boreas","Western toad",11.5,NA,NA,NA
20,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","canorus","Yosemite toad",15,NA,NA,NA
21,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","cognatus","Great plains toad",10.7,NA,NA,NA
22,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","debilis","Green toad",12.4,NA,NA,NA
23,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","hemiophrys","Canadian toad",13.3,NA,NA,NA
24,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","punctatus","Red-spotted toad",11.3,NA,NA,NA
25,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","retiformis","Sonoran green toad",15.3,NA,NA,NA
