Species,Family,Heterozygosity,Allelic richness,Breeding range size,Body mass,Latitude,Migratory status,References
Apteryx australis,Struthioniformes,0.596,4,2.0088,2321,45.62,Resident,Shepherd and Lambert 2006; Willoughby et al. 2015
Tinamus major,Tinamiformes,0.763,8.56,782.5703,1026,1.54,Resident,Hughes 2010; Willoughby et al. 2015
Eudyptes chrysolophus,Sphenisciformes,0.776,10.73,14.5674,4485,54.1,Migratory,Hughes 2010; Willoughby et al. 2015
Eudyptula minor,Sphenisciformes,0.54,6.38,60.9832,1108,39.27,Resident,Billing et al. 2007; Willoughby et al. 2015
Megadyptes antipodes,Sphenisciformes,0.447,3.25,16.6531,5326,47.3,Resident,Boessenkool et al. 2008; Willoughby et al. 2015
Pygoscelis adeliae,Sphenisciformes,0.524,10.5,134.0897,4848,63.01,Migratory,Evans and Sheldon 2008; Roeder et al. 2001
Spheniscus humboldti,Sphenisciformes,0.759,7.86,9.0311,4366,23,Migratory,Evans and Sheldon 2008; Schlosser et al. 2003
Spheniscus magellanicus,Sphenisciformes,0.432,8.4,221.8842,4105,41.47,Migratory,Hughes 2010; Willoughby et al. 2015
Podiceps grisegena,Podicipediformes,0.833,11,6393.0292,1023,53.39,Migratory,Sachs and Hughes 1999; Willoughby et al. 2015
Diomedea exulans,Procellariiformes,0.403,5,19615.043,6961,48.16,Migratory,Hughes 2010; Dubois et al. 2005
Oceanodroma castro,Procellariiformes,0.443,4.56,10073.528,46,11.88,Migratory,Sun et al. 2009; Willoughby et al. 2015
Oceanodroma leucorhoa,Procellariiformes,0.565,4.4,17449.76,37,36.78,Migratory,Bicknell et al. 2011; Willoughby et al. 2015
Procellaria aequinoctialis,Procellariiformes,0.547,5.3,20158.622,1213,49.12,Migratory,Evans and Sheldon 2008; Techow and O'Ryan 2004
Pterodroma arminjoniana,Procellariiformes,0.48,4.4,2604.1121,394,13.47,Migratory,Brown et al. 2010; Willoughby et al. 2015
Puffinus carneipes,Procellariiformes,0.614,6.8,14852.951,609,33.05,Migratory,Hardesty et al. 2013; Willoughby et al. 2015
Puffinus yelkouan,Procellariiformes,0.53,4.63,486.0966,497,39.47,Migratory,Genovart et al. 2012; Willoughby et al. 2015
Thalassarche bulleri,Procellariiformes,0.64,6.4,2569.8572,2782,40.92,Migratory,Van Bekkum et al. 2006; Willoughby et al. 2015
Thalassarche cauta,Procellariiformes,0.59,4,3752.8479,3898,40.09,Migratory,Abbott and Double 2003; Willoughby et al. 2015
Thalassarche chrysostoma,Procellariiformes,0.459,4,20522.357,3499,49.84,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Pelecanus erythrorhynchos,Pelecaniformes,0.647,4.8,292.9164,5609,32.84,Migratory,Hughes 2010; Hickman et al. 2008
