provider_number,legal_name,business_name,capacity_per_peu,address,address_2,city,county,zip_code,phone_number,latitude,longitude,source_access_date
1619343043,"ELDERS INN ON WEBSTER, LP",ELDERS INN ON WEBSTER,60,1721 WEBSTER ST,,ALAMEDA,Alameda,94501,510-521-0290,37.776909627848,-122.276676223742,2026-07-18
1205378981,ALMOND ROAD SENIOR ESTATES,ALMOND ROAD SENIOR ESTATES,6,17635 ALMOND ROAD,,CASTRO VALLEY,Alameda,94546-1205,510-886-0341,37.717889588195,-122.085743258747,2026-07-18
1568238848,REDWOOD ASSISTED LIVING LLC,REDWOOD ASSISTED LIVING,6,18785 CARLTON AVE,,CASTRO VALLEY,Alameda,94546,510-561-9041,37.708418037606,-122.096659011253,2026-07-18
1740825611,SPECIAL REQUEST LLC                ,EDEN ASSISTED LIVING               ,0,18787 CARLTON AVENUE,,CASTRO VALLEY       ,Alameda,94546,5108850557,37.708483206904,-122.096729167782,2026-07-18
1740826163,SPECIAL REQUEST LLC                ,LAKE CHABOT ASSISTED LIVING        ,3,18821 CARLTON AVENUE,,CASTRO VALLEY       ,Alameda,94546,5108850567,37.708272234401,-122.096501850568,2026-07-18
1477168656,LINCOLN RETIREMENT VILLA LLC,LINCOLN VILLA,76,41040 LINCOLN ST,,FREMONT,Alameda,94538,5106564373,37.533989123783,-121.956624482738,2026-07-18
1790467231,ARCADIAN RESIDENTIAL COMMUNITY CORPORATION,ARCADIAN RESIDENTIAL COMMUNITY,40,24647 MOHR DRIVE,,HAYWARD,Alameda,94545,510-887-8898,37.644836943431,-122.11386722611,2026-07-18
1659138386,ASTERA CARE HOME LLC,ASTERA CARE HOME LLC,6,1528 SEAVER CT,,HAYWARD,Alameda,94545,510-387-7010,37.642288593409,-122.102909647908,2026-07-18
1598480766,"ARK ANGEL II, LLC",BELLA VISTA,42,1641-1659 D STREET,,HAYWARD,Alameda,94541,510-397-0751,37.676978315076,-122.068572930092,2026-07-18
1336786490,SCOTT VILLAS CORP,DIANA'S CARE HOME,35,27402 MANON AVENUE,,HAYWARD,Alameda,94545,510-782-8808,37.637059710751,-122.070241347919,2026-07-18
1336786490,SCOTT VILLAS CORP                  ,SCOTT VILLA                        ,35,1560 MIDDLE LANE,,HAYWARD             ,Alameda,94545,5107828808,37.648604105994,-122.1176182116,2026-07-18
1174137244,LA JOLLA COVE HOLDINGS LLC,MILAN VILLA SENIOR LIVING,24,740 HOLMES STREET,,LIVERMORE,Alameda,94550,9252854928,37.673590140265,-121.780147869969,2026-07-18
1376157446,KENAI RIVER HOLDINGS LLC,TUSCANY VILLA SENIOR LIVING,31,790 HOLMES STREET,,LIVERMORE,Alameda,94550,9253713090,37.672473461215,-121.779572703773,2026-07-18
1104357102,KOOBAMO LLC,GOOD SHEPHERD VISTA,22,5472 FOOTHILL BLVD,,OAKLAND,Alameda,94601,408-202-2236,37.772641437022,-122.196647991518,2026-07-18
1760019889,GILEAD WEST CARE SERVICES LLC,HOUSE OF PSALMS ASSISTED,23,1525 7TH AVE,,OAKLAND,Alameda,94606,925-208-9250,37.795185780989,-122.250942272251,2026-07-18
1841295003,BELLAKEN HEALTH GROUP              ,BELLAKEN SKILLED NURSING           ,58,2780 26TH AVE,,OAKLAND             ,Alameda,94601,5105361838,37.792911644929,-122.221598654157,2026-07-18
1871037838,"DNALOR CARE HOMES, LLC             ","DNALOR CARE HOMES, LLC             ",4,2706 106TH AVENUE,,OAKLAND             ,Alameda,94605,5107566122,37.743782544389,-122.150973743829,2026-07-18
1538593447,GAFFAR ENTERPRISES INC             ,LAKESHORE RESIDENTIAL CARE         ,38,1901 3RD AVE,,OAKLAND             ,Alameda,94606,5108349880,37.800205660891,-122.250207598438,2026-07-18
1508534314,MARYMOUNT VILLA LLC,MARYMOUNT VILLA RETIREMENT CENTER,99,345 DAVIS STREET,,SAN LEANDRO,Alameda,94577,510-895-5007,37.724968566431,-122.158735553808,2026-07-18
1174241392,ROSEMONT GARDENS INC,ROSEMONT GARDENS,40,1345 CLARKE STREET,,SAN LEANDRO,Alameda,94577,510-969-7485,37.723473863547,-122.158281422294,2026-07-18
1043426588,MASONIC HOME OF CALIFORNIA         ,MASONIC HOME FOR ADULTS            ,242,34400 MISSION BLVD,,UNION CITY          ,Alameda,94587,5104296449,37.59909798745,-122.004271998072,2026-07-18
1043426588,MASONIC HOME OF CALIFORNIA         ,MASONIC HOME FOR ADULTS            ,242,34400 MISSION BLVD,,UNION CITY          ,Alameda,94587,5104296449,37.59909798745,-122.004271998072,2026-07-18
1184380651,ANGEL WINGS CARE HOME INC,ANGEL WINGS CARE HOME III,6,5420 SAN MARTIN WAY,,ANTIOCH,Contra Costa,94531,9253928915,37.95758016778,-121.757626701965,2026-07-18
1891469979,BASELINE ENTERPRISE-RYCROFT ENTERPRISE,ELIZABETH CARE HOMES 2,6,1840 KERN MOUNTAIN WAY,,ANTIOCH,Contra Costa,94531,9252380311,37.961103668418,-121.792835808263,2026-07-18
1780051813,SST SENIOR CARE LLC,HILLCREST MEMORY CARE,90,825 E 18TH ST,,ANTIOCH,Contra Costa,94509,925-706-7944,38.004924886862,-121.791144591659,2026-07-18
1245617620,MAGNOLIA GUEST HOME LLC            ,MAGNOLIA GUEST HOME ANTIOCH        ,6,2448 STANFORD WAY,,ANTIOCH             ,Contra Costa,94531,9256420427,37.956782713512,-121.785282037121,2026-07-18
1174935175,"MICHAELSON, MANJULA                ",TERRACE VIEW ASSISTED LIVING       ,3,2828 TERRACE VIEW AVE,,ANTIOCH             ,Contra Costa,94531,9253540403,37.988860089327,-121.779669682393,2026-07-18
1194482307,SARKA LLC,GREEN FEATHERS ASSISTED LIVING,6,528 COCONUT PL,,BRENTWOOD,Contra Costa,94513,5103315774,37.920458730273,-121.70276815151,2026-07-18
1144812678     ,BDSJ HOLDINGS LLC                  ,JOY SENIOR CENTER                  ,0,6400 BRENTWOOD BLVD,,BRENTWOOD           ,Contra Costa,94513,9254205061,37.962634455395,-121.696086098298,2026-07-18
1891149761,HOME SWEET CARE HOMES INC,HOME SWEET WILSON,6,4248 WILSON LANE,,CONCORD,Contra Costa,94521,925-270-3158,37.968738534473,-121.987214154558,2026-07-18
1760253298,LIMERIDGE SENIOR LIVING LLC,LIMERIDGE SENIOR LIVING LLC,3,1100 FAIR WEATHER CIRCLE,,CONCORD,Contra Costa,94518,925-798-8239,37.946795508241,-122.000071407296,2026-07-18
1558147827,JRB SULLIVAN ENTERPRISES,NINA'S CARE HOME,6,4272 GLAZIER CT,,CONCORD,Contra Costa,94521,510-205-8491,37.965941200017,-121.988757430571,2026-07-18
1871282244,LDS HOMES LLC,PARADISE VILLA SENIOR CARE,6,836 SAN SIMEON DR,,CONCORD,Contra Costa,94518,925-483-2595,37.944778948065,-122.019707691865,2026-07-18
1851731327,QCARE INC,QCARE RESIDENTIAL FACILITY,6,3662 LISCOME WAY,,CONCORD,Contra Costa,94518,925-689-7669,37.961295404453,-122.01595276688,2026-07-18
1851731327,QCARE INC,QCARE RESIDENTIAL FACILITY II,6,4363 FAIRWOOD DRIVE,,CONCORD,Contra Costa,94521,925-689-7669,37.968585355193,-121.981863147571,2026-07-18
1851731327,QCARE INC,QCARE RESIDENTIAL FACILITY III,6,4369 FAIRWOOD DRIVE,,CONCORD,Contra Costa,94521,925-689-7669,37.968437288873,-121.981661981894,2026-07-18
1881458628,TREG CONCORD OP CO DIR LLC,TREVISTA CONCORD,160,1081 MOHR LANE,,CONCORD,Contra Costa,94518-3757,925-798-3900,37.94615839978,-122.048386289761,2026-07-18
1942693049,AGAPE ASSISTED LIVING INC          ,AGAPE ASSISTED LIVING INC          ,6,1841 ANDREA LN,,CONCORD             ,Contra Costa,94519,9257882530,37.980383135369,-122.007738920864,2026-07-18
1467891515,ELIM SENIOR SERVICES LLC           ,ELIM ASSISTED LIVING               ,6,3653 WREN AVE,,CONCORD             ,Contra Costa,94519,8888188101,37.980731822541,-122.007397861223,2026-07-18
1316386451,ELIM SENIOR SERVICES LLC           ,ELIM ASSISTED LIVING III           ,6,5126 CORAL COURT,,CONCORD             ,Contra Costa,94521,8888188101,37.961597613972,-121.963896202838,2026-07-18
1891149761,HOME SWEET CARE HOMES INC          ,HOME SWEET CARE HOMES INC          ,6,1584 DIANDA DR,,CONCORD             ,Contra Costa,94521,9256892356,37.966601735897,-121.985441130579,2026-07-18
1245617620,MAGNOLIA GUEST HOME LLC            ,MAGNOLIA GUEST HOME LLC            ,6,1639 FAIRWOOD DR,,CONCORD             ,Contra Costa,94521,9254832610,37.966983741134,-121.983911768526,2026-07-18
1891149761,HOME SWEET CARE HOMES INC,HOME SWEET ELSIE,6,280 ELSIE DR,,DANVILLE,Contra Costa,94526-2517,510-507-2679,37.82761838186,-122.000347339548,2026-07-18
1619545472,ANGELS TOUCH CARE HOME LLC,ANGELS TOUCH CARE HOME LLC,6,1653 SWALLOW WAY,,HERCULES,Contra Costa,94547,5107252020,38.004737090322,-122.266482572195,2026-07-18
1952908709,SAXENA FAMILY LLC,LAFAYETTE GARDENS,6,3486 MONROE AVE,,LAFAYETTE,Contra Costa,94549,9253226498,37.889479006589,-122.115565399693,2026-07-18
1871290528,ASTER GARDEN CARE HOME INC,ASTER GARDEN CARE HOME,6,2046 ARNOLD DR,,MARTINEZ,Contra Costa,94553,925-407-7065,37.992255556393,-122.084285645785,2026-07-18
1801462791,OAKLEY ASSISTED LIVING II LLC,OAKLEY ASSISTED LIVING II,6,1449 BUTTONS CT,,OAKLEY,Contra Costa,94561,9252196165,37.995214913038,-121.721023936626,2026-07-18
1912379231,BUTTONS ELDERLY CARE               ,BUTTONS ELDERLY CARE               ,6,1448 BUTTONS CT,,OAKLEY              ,Contra Costa,94561,9253545144,37.995269688775,-121.721030306872,2026-07-18
1447734025,"OAKLEY ASSISTED LIVING, LLC        ","OAKLEY ASSISTED LIVING, LLC        ",6,531 O'HARA AVENUE,,OAKLEY              ,Contra Costa,94561,9252306804,37.994052426887,-121.714003086888,2026-07-18
