subject_id,study,cohort,demo_race,demo_gender,demo_firstgen,bedtime_mssd,TotalSleepTime,midpoint_sleep,frac_nights_with_data,daytime_sleep,cum_gpa,term_gpa,term_units,Zterm_units_ZofZ
185,5,lac1,1,1,0,0.116726948,432.2,458.66,0.862068966,24.16,3,3.38,73,4.055294859
158,5,lac1,0,1,0,0.141680839,391.9310345,364.4655172,1,13.13793103,3.66,2.6,64,2.482534122
209,5,lac1,1,1,0,1.529289486,344.3043478,560.8913043,0.793103448,14.95652174,3.57,3.07,63,2.30778293
102,5,lac1,0,1,1,0.130148455,392.6206897,416.4827586,1,54.55172414,3.61,3.56,61,1.958280544
174,5,lac1,1,1,0,0.130180898,423.4210526,368.7631579,0.655172414,10.52631579,3.21,4,61,1.958280544
184,5,lac1,1,1,0,0.209483025,397.4,353.58,0.862068966,22.36,3.2,3.36,60,1.783529351
255,5,lac1,1,1,0,0.675488988,348.5925926,434.7037037,0.931034483,20.51851852,3.4,3.19,60,1.783529351
265,5,lac1,1,1,0,0.129621959,422.1111111,414.8333333,0.931034483,17.03703704,3.86,3.28,60,1.783529351
343,5,lac1,1,0,0,1.476978738,454.3214286,423.8214286,0.965517241,52.67857143,3.79,3.5,60,1.783529351
137,5,lac1,1,1,0,0.085000354,308.9655172,334.7931034,1,85.48275862,3.53,2.55,59,1.608778158
279,5,lac1,1,1,0,0.168517574,314.5862069,479.362069,1,21.4137931,3.61,3.49,59,1.608778158
220,5,lac1,1,1,0,0.064827556,382.1923077,463.5769231,0.896551724,2.269230769,3.82,3.76,58,1.434026965
337,5,lac1,1,1,0,0.089355867,389.7241379,447.862069,1,14.55172414,3.33,3.74,58,1.434026965
323,5,lac1,1,0,0,0.224089073,365.7241379,519.4655172,1,27.55172414,4,4,58,1.434026965
216,5,lac1,1,1,1,0.141067177,360,372.137931,1,34.06896552,3.16,3.56,57,1.259275772
125,5,lac1,1,0,1,0.246896613,366.7586207,431.6724138,1,10.24137931,3,3.2,57,1.259275772
211,5,lac1,1,1,0,0.235034014,292.1034483,424.0344828,1,9.379310345,3.77,2.78,57,1.259275772
316,5,lac1,0,1,0,0.176744146,446.1304348,383.1956522,0.793103448,23.13043478,3.71,2.83,57,1.259275772
178,5,lac1,1,0,0,2.043044444,371.7272727,451.0454545,0.379310345,42.90909091,3.82,3.78,57,1.259275772
153,5,lac1,1,1,1,0.039771117,439.5517241,366.137931,1,12.24137931,3.1,3.3,56,1.084524579
130,5,lac1,1,1,0,0.060847151,359.1724138,330.3275862,1,6.103448276,4,3.44,55,0.909773386
303,5,lac1,1,1,0,0.104683603,384.8275862,341,1,20.20689655,3.17,3.05,55,0.909773386
160,5,lac1,1,1,0,0.062372733,372.25,383.2142857,0.965517241,25.03571429,4,3.82,54,0.735022193
295,5,lac1,1,1,0,0.406257089,402.4166667,349.25,0.827586207,10.91666667,3.47,3,54,0.735022193
353,5,lac1,1,1,0,0.060779478,360.862069,452.637931,1,22.13793103,3.62,3.81,54,0.735022193
172,5,lac1,1,0,0,0.052766794,443.137931,437.862069,1,23.79310345,2.91,2.61,54,0.735022193
190,5,lac1,1,0,0,0.272011478,375.8,400.64,0.862068966,28.04,3.79,3.17,54,0.735022193
197,5,lac1,1,0,0,0.777560262,335.9565217,494.1304348,0.793103448,20.73913043,1.57,2.67,54,0.735022193
222,5,lac1,1, ,0,0.161198225,367.4444444,405.8148148,0.931034483,16.25925926,3.5,3.4,53,0.560271
181,5,lac1,1,1,0,0.093037333,408.1153846,328.0192308,0.896551724,12.11538462,4,4,53,0.560271
198,5,lac1,0,1,0,0.152839073,371.2758621,321.6034483,1,106.4482759,3.3,2.94,53,0.560271
299,5,lac1,0,1,0,1.720101235,300.375,469.6875,0.551724138,9,3.28,1.7,53,0.560271
142,5,lac1,1,0,0,0.09644487,373.1724138,467.9655172,1,23.65517241,4,3.81,53,0.560271
163,5,lac1,0,0,0,0.252287769,429.862069,437.8275862,1,52.65517241,3.52,3.46,53,0.560271
236,5,lac1,1,0,0,0.190095486,391.32,410.76,0.862068966,30.76,3.29,3.51,53,0.560271
247,5,lac1,0,0,0,0.292408633,365.9166667,501.1041667,0.827586207,28.16666667,3.72,3.81,53,0.560271
261,5,lac1,1,0,0,0.19883031,342.4545455,468.6136364,0.75862069,21.95454545,3.76,3.8,53,0.560271
301,5,lac1,1,0,0,0.093117205,293.4827586,395.2068966,1,31.89655172,4,3.77,53,0.560271
129,5,lac1,1,1,0,0.090083617,411.3103448,373.1206897,1,18.65517241,4,3.4,52,0.385519807
133,5,lac1,1,1,0,0.646693778,477.9230769,370.3461538,0.896551724,22.03846154,3.48,3.83,52,0.385519807
179,5,lac1,1,1,0,0.090260417,447.6551724,448.3448276,1,18.96551724,3.07,2.43,52,0.385519807
201,5,lac1,0,1,0,0.21185109,444.2857143,318.3928571,0.965517241,22.10714286,3.71,3.79,52,0.385519807
254,5,lac1,1,1,0,0.040935374,443.3793103,367.2068966,1,13.79310345,3.8,4,52,0.385519807
308,5,lac1,1,1,0,0.109464444,401.0769231,420.6923077,0.896551724,11.42307692,3.74,3.39,52,0.385519807
258,5,lac1,1,0,0,0.129549992,412.5357143,361.0714286,0.965517241,14.75,3.76,3.55,52,0.385519807
281,5,lac1,1,0,0,3.641583333,442.0909091,580.1818182,0.379310345,14.09090909,3.46,3.5,52,0.385519807
145,5,lac1,1,1,0,0.087405961,406.52,358.1,0.862068966,39,3.72,3.06,51,0.210768614
167,5,lac1,1,1,0,0.152065333,445.9230769,322.0961538,0.896551724,14.26923077,4,4,51,0.210768614
168,5,lac1,1,1,0,0.057516652,406.2758621,473,1,5.862068966,3.23,3.59,51,0.210768614
223,5,lac1,1,1,0,1.775785667,421.5,687.5,0.482758621,46.5,3.2,1.69,51,0.210768614
233,5,lac1,1,1,0,0.26249783,362.9411765,496.5882353,0.586206897,18.11764706,2.62,2.46,51,0.210768614
304,5,lac1,1,1,0,0.102636412,362.3928571,440.6785714,0.965517241,50.57142857,3,3.41,51,0.210768614
123,5,lac1,1,0,0,0.02063244,439.862069,321.6724138,1,13.4137931,3.46,4,51,0.210768614
