NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,INDEX,VARIABLE NAME,VALUE,LABEL,SOURCE,SHOWN/USE ON SITE,NOTES,
Unit ID for institution,root,id,integer,,UNITID,,,IPEDS,Yes,,
8-digit OPE ID for institution,root,ope8_id,string,varchar(10),OPEID,,,IPEDS,Yes,,
6-digit OPE ID for institution,root,ope6_id,string,varchar(10),OPEID6,,,IPEDS,Yes,,
Institution name,school,name,autocomplete,fulltext,INSTNM,,,IPEDS,Yes,,
City,school,city,autocomplete,varchar(200),CITY,,,IPEDS,Yes,,
State postcode,school,state,string,varchar(50),STABBR,,,IPEDS,Yes,,
ZIP code,school,zip,string,varchar(20),ZIP,,,IPEDS,,,
Accreditor for institution,school,accreditor,string,,ACCREDAGENCY,,,FSA,,,
URL for institution's homepage,school,school_url,string,varchar(200),INSTURL,,,IPEDS,Yes,,
URL for institution's net price calculator,school,price_calculator_url,string,,NPCURL,,,IPEDS,Yes,,
Predominant degree awarded (recoded 0s and 4s),school,degrees_awarded.predominant_recoded,integer,,SCH_DEG,,,IPEDS/NSLDS,,"Missing values, 0s, and 4s from PREDDEG recoded according to NSLDS program length",
Schools that are on Heightened Cash Monitoring 2 by the Department of Education,school,under_investigation,integer,tinyint,HCM2,,,FSA,Yes,Flag (1=HCM2),
Flag for main campus,school,main_campus,integer,tinyint,MAIN,0,Not main campus,IPEDS,,,
,school,,,,,1,Main campus,,,,
Number of branch campuses,school,branches,integer,tinyint,NUMBRANCH,,,IPEDS,,,
"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",school,degrees_awarded.predominant,integer,tinyint,PREDDEG,0,Not classified,IPEDS,Yes,,
,school,,,,,1,Predominantly certificate-degree granting,,,,
,school,,,,,2,Predominantly associate's-degree granting,,,,
,school,,,,,3,Predominantly bachelor's-degree granting,,,,
,school,,,,,4,Entirely graduate-degree granting,,,,
"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree",school,degrees_awarded.highest,integer,tinyint,HIGHDEG,0,Non-degree-granting,IPEDS,Yes,,
,school,,,,,1,Certificate degree,,,,
,school,,,,,2,Associate degree,,,,
,school,,,,,3,Bachelor's degree,,,,
,school,,,,,4,Graduate degree,,,,
Control of institution,school,ownership,integer,integer,CONTROL,1,Public,IPEDS,Yes,,
,school,,,,,2,Private nonprofit,,,,
,school,,,,,3,Private for-profit,,,,
FIPS code for state,school,state_fips,integer,integer,ST_FIPS,1,Alabama,IPEDS,,,
,school,,,,,2,Alaska,,,,
,school,,,,,4,Arizona,,,,
,school,,,,,5,Arkansas,,,,
,school,,,,,6,California,,,,
,school,,,,,8,Colorado,,,,
,school,,,,,9,Connecticut,,,,
,school,,,,,10,Delaware,,,,
,school,,,,,11,District of Columbia,,,,
,school,,,,,12,Florida,,,,
,school,,,,,13,Georgia,,,,
,school,,,,,15,Hawaii,,,,
,school,,,,,16,Idaho,,,,
,school,,,,,17,Illinois,,,,
,school,,,,,18,Indiana,,,,
,school,,,,,19,Iowa,,,,
,school,,,,,20,Kansas,,,,
,school,,,,,21,Kentucky,,,,
,school,,,,,22,Louisiana,,,,
,school,,,,,23,Maine,,,,
,school,,,,,24,Maryland,,,,
,school,,,,,25,Massachusetts,,,,
,school,,,,,26,Michigan,,,,
,school,,,,,27,Minnesota,,,,
,school,,,,,28,Mississippi,,,,
,school,,,,,29,Missouri,,,,
,school,,,,,30,Montana,,,,
,school,,,,,31,Nebraska,,,,
,school,,,,,32,Nevada,,,,
,school,,,,,33,New Hampshire,,,,
,school,,,,,34,New Jersey,,,,
,school,,,,,35,New Mexico,,,,
,school,,,,,36,New York,,,,
,school,,,,,37,North Carolina,,,,
,school,,,,,38,North Dakota,,,,
,school,,,,,39,Ohio,,,,
,school,,,,,40,Oklahoma,,,,
,school,,,,,41,Oregon,,,,
,school,,,,,42,Pennsylvania,,,,
,school,,,,,44,Rhode Island,,,,
,school,,,,,45,South Carolina,,,,
,school,,,,,46,South Dakota,,,,
,school,,,,,47,Tennessee,,,,
,school,,,,,48,Texas,,,,
,school,,,,,49,Utah,,,,
,school,,,,,50,Vermont,,,,
,school,,,,,51,Virginia,,,,
,school,,,,,53,Washington,,,,
,school,,,,,54,West Virginia,,,,
,school,,,,,55,Wisconsin,,,,
,school,,,,,56,Wyoming,,,,
,school,,,,,60,American Samoa,,,,
,school,,,,,64,Federated States of Micronesia,,,,
,school,,,,,66,Guam,,,,
,school,,,,,69,Northern Mariana Islands,,,,
,school,,,,,70,Palau,,,,
,school,,,,,72,Puerto Rico,,,,
,school,,,,,78,Virgin Islands,,,,
Region (IPEDS),school,region_id,integer,integer,REGION,0,U.S. Service Schools,IPEDS,,,
,school,,,,,1,"New England (CT, ME, MA, NH, RI, VT)",,,,
,school,,,,,2,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,
,school,,,,,3,"Great Lakes (IL, IN, MI, OH, WI)",,,,
,school,,,,,4,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,
,school,,,,,5,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,
,school,,,,,6,"Southwest (AZ, NM, OK, TX)",,,,
,school,,,,,7,"Rocky Mountains (CO, ID, MT, UT, WY)",,,,
,school,,,,,8,"Far West (AK, CA, HI, NV, OR, WA)",,,,
,school,,,,,9,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)",,,,
Locale of institution,school,locale,integer,integer,LOCALE,11,"City: Large (population of 250,000 or more)",IPEDS,Yes,,
,school,,,,,12,"City: Midsize (population of at least 100,000 but less than 250,000)",,,,
,school,,,,,13,"City: Small (population less than 100,000)",,,,
,school,,,,,21,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)",,,,
,school,,,,,22,"Suburb: Midsize (outside principal city, in urbanized area with population of at least 100,000 but less than 250,000)",,,,
,school,,,,,23,"Suburb: Small (outside principal city, in urbanized area with population less than 100,000)",,,,
,school,,,,,31,Town: Fringe (in urban cluster up to 10 miles from an urbanized area),,,,
,school,,,,,32,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area),,,,
,school,,,,,33,Town: Remote (in urban cluster more than 35 miles from an urbanized area),,,,
,school,,,,,41,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster),,,,
,school,,,,,42,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster),,,,
,school,,,integer,,43,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster),,,,
Degree of urbanization of institution,school,degree_urbanization,integer,integer,LOCALE2,1,"Large City (a central city of a CMSA or MSA, with the city having a population greater than or equal to 250,000)",IPEDS,,Discontinued,
