column,Definition,wave,level_of_analysis,section
idhabitus, household identifier (to be combined with "persona"),0,household,identifiers
persona,person identifier in household (from household roster),0,person,identifiers
prov,province identifier,0,household,identifiers
cant,canton identifier,0,household,identifiers
parr,parish identifier,0,household,identifiers
ciudad,prov+cant+parr,0,household,identifiers
treatment,=1 if hh is assigned to treatment by lottery - BDH,1,household,identifiers
quint_selben,SELBEN index quintile (lower is poorer),1,household,identifiers
bl,=1 if child was in baseline,0,person,attrition
w1,=1 if child was in wave 1,1,person,attrition
w2,=1 if child was in wave 2,2,person,attrition
w3,=1 if child was in wave 3,3,person,attrition
w4,=1 if child was in wave 4,4,person,attrition
panel,=1 if child in all waves bl to w4,4,person,attrition
DRaircon0,=1 if hh owns air conditioning,0,household,household assets
NDRaircon0,number of air conditioners,0,household,household assets
DRbike0,=1 if hh owns bike,0,household,household assets
NDRbike0,number of bikes,0,household,household assets
DRblender0,=1 if hh owns blender,0,household,household assets
NDRblender0,number of blenders,0,household,household assets
DRblender2,=1 if hh owns blender,2,household,household assets
NDRblender2,number of blenders,2,household,household assets
DRbwtv0,=1 if hh owns tv (black&white),0,household,household assets
NDRbwtv0,number of black and white TVs,0,household,household assets
DRcar0,=1 if hh owns car,0,household,household assets
NDRcar0,number of cars,0,household,household assets
DRcolortv0,=1 if hh owns color TV,0,household,household assets
NDRcolortv0,number of color TVs,0,household,household assets
DRcomputer0,=1 if hh owns computer,0,household,household assets
NDRcomputer0,number of computers,0,household,household assets
DRcar2,=1 if hh owns car,2,household,household assets
NDRcar2,number of cars,2,household,household assets
DRcolortv2,=1 if hh owns color TV,2,household,household assets
NDRcolortv2,number of color TVs,2,household,household assets
DRcomputer2,=1 if hh owns computer,2,household,household assets
NDRcomputer2,number of computers,2,household,household assets
DRfan0,=1 if hh owns fan,0,household,household assets
NDRfan0,number of fans,0,household,household assets
DRfridge0,=1 if hh owns fridge,0,household,household assets
NDRfridge0,number of fridges,0,household,household assets
DRiron0,=1 if hh owns iron for clothes,0,household,household assets
NDRiron0,number of irons for clothes,0,household,household assets
DRmixer0,=1 if hh owns mixer,0,household,household assets
NDRmixer0,number of mixers,0,household,household assets
DRfridge2,=1 if hh owns fridge,2,household,household assets
NDRfridge2,number of fridges,2,household,household assets
DRiron2,=1 if hh owns iron for clothes,2,household,household assets
NDRiron2,number of irons for clothes,2,household,household assets
DRmixer2,=1 if hh owns mixer,2,household,household assets
NDRmixer2,number of mixers,2,household,household assets
DRmotorc0,=1 if hh owns motorcyle,0,household,household assets
NDRmotorc0,number of motorcycles,0,household,household assets
DRoven0,=1 if hh owns oven,0,household,household assets
NDRoven0,number of ovens,0,household,household assets
DRradio0,=1 if hh owns radio,0,household,household assets
NDRradio0,number of radios,0,household,household assets
DRsewing0,=1 if hh owns sewing machine,0,household,household assets
NDRsewing0,number of sewing machines,0,household,household assets
DRstereo0,=1 if hh owns stereo,0,household,household assets
NDRstereo0,number of stereos,0,household,household assets
DRstove0,=1 if hh owns stove,0,household,household assets
NDRstove0,number of stoves,0,household,household assets
DRstereo2,=1 if hh owns stereo,2,household,household assets
NDRstereo2,number of stereos,2,household,household assets
DRstove2,=1 if hh owns stove,2,household,household assets
NDRstove2,number of stoves,2,household,household assets
DRstovepl0,=1 if hh owns kitchenette ("cocineta"),0,household,household assets
NDRstovepl0,number of kitchenettes,0,household,household assets
DRtypewr0,=1 if hh owns type writer,0,household,household assets
NDRtypewr0,number of type writers,0,household,household assets
DRvhsdvd0,=1 if hh owns dvd players,0,household,household assets
NDRvhsdvd0,number of dvd players,0,household,household assets
DRvhsdvd2,=1 if hh owns dvd players,2,household,household assets
NDRvhsdvd2,number of dvd players,2,household,household assets
DRwaffle0,=1 if hh owns waffle maker,0,household,household assets
NDRwaffle0,number of waffle makers,0,household,household assets
DRwasher0,=1 if hh owns washer,0,household,household assets
NDRwasher0,number of washers,0,household,household assets
DRwasher2,=1 if hh owns washer,2,household,household assets
NDRwasher2,number of washers,2,household,household assets
DRmicrowave2,=1 if hh owns microwave,2,household,household assets
NDRmicrowave2,number of microwaves,2,household,household assets
DRcell2,=1 if hh owns cellphone,2,household,household assets
NDRcell2,number of cellphones,2,household,household assets
DRphone2,=1 if hh owns phone,2,household,household assets
NDRphone2,number of phones,2,household,household assets
Hgarbage0,type of garbage disposal,0,household,household services and materials
Hgarbage2,type of garbage disposal,2,household,household services and materials
Hlights0,type of lighting,0,household,household services and materials
Hlights2,type of lighting,2,household,household services and materials
Hwater0,type of water source,0,household,household services and materials
Hwater2,type of water source,2,household,household services and materials
Hshower0,type of shower,0,household,household services and materials
Hshower2,type of shower,2,household,household services and materials
Htoilet0,type of toilet,0,household,household services and materials
Htoilet2,type of toilet,2,household,household services and materials
Hfuel0,type of fuel for cooking,0,household,household services and materials
Hfuel2,type of fuel for cooking,2,household,household services and materials
Hheat2,=1 if gas water-heater (calefon) in hh,2,household,household services and materials
Hgas2,=1 if use domestic gas for water-heater,2,household,household services and materials
Hroof0,type of roof material,0,household,household services and materials
Hroof1,type of roof material,1,household,household services and materials
Hroof2,type of roof material,2,household,household services and materials
Hwalls0,type of wall material,0,household,household services and materials
Hfloor0,type of floor material,0,household,household services and materials
Hfloor1,type of floor material,1,household,household services and materials
Hfloor2,type of floor material,2,household,household services and materials
Hbedrooms0,number of bedrooms in dwelling,0,household,household services and materials
Hbedrooms2,number of bedrooms in dwelling,2,household,household services and materials
Hrooms0,number of rooms in dwelling,0,household,household services and materials
Hrooms2,number of rooms in dwelling,2,household,household services and materials
Htenure0,type of home tenure,0,household,household services and materials
Htenure2,type of home tenure,2,household,household services and materials
Htype0,type of the dwelling,0,household,household services and materials
Htype2,type of the dwelling,0,household,household services and materials
Hfarm0,=1 if dwelling is a farm,0,household,household services and materials
Hfarm2,=1 if dwelling is a farm,0,household,household services and materials
Hfarmten0,farm tenure (if dwelling is a farm),0,household,household services and materials
Hfarmten2,farm tenure (if dwelling is a farm),2,household,household services and materials
Haltitude0,altitude in meters,0,household,household services and materials
ln_pcexp0,ln per-capita hh expenditure in BL,0,household,household expenditures
ln_totexp0,ln total hh expenditure in BL,0,household,household expenditures
Efood2,food exp: every 365 days, region adjusted in USD,2,household,household expenditures
Enfood2,non-food exp: every 365 days, region adjusted in USD,2,household,household expenditures
Epcexp2,total PC exp: every 365 days, region adjusted in USD,2,household,household expenditures
Erent2,rent exp: every 365 days, region adjusted in USD,2,household,household expenditures
Eschool2,school exp: every 365 days, region adjusted in USD,2,household,household expenditures
Etotexp2,total HH exp: every 365 days, region adjusted in USD,2,household,household expenditures
Eutil2,utility exp: every 365 days, region adjusted in USD,2,household,household expenditures
Crelate0,relationship to head of HH,0,person,child basic info
Cagemo0,age of child in months,0,person,child basic info
Crelate1,relationship to head of HH,1,person,child basic info
Cagemo1,age of child in months,1,person,child basic info
Crelate2,relationship to head of HH,2,person,child basic info
Cagemo2,age of child in months,2,person,child basic info
Cagemo3,age of child in months,3,person,child basic info
Cagemo4,age of child in months,4,person,child basic info
Cmale0,=1 if child is a male,0,person,child basic info
Cbio0,child biological, adopted, etc,0,person,child basic info
Cbio1,child biological, adopted, etc,1,person,child basic info
Cbio2,child biological, adopted, etc,2,person,child basic info
Cdisable0,=1 if child has any disability,0,person,child basic info
Clanguage0,what language or languages does child speak,0,person,child basic info
Clanguage1,what language or languages does child speak,1,person,child basic info
Clanguage2,what language or languages does child speak,2,person,child basic info
Clit0,=1 if child knows how to read and write,0,person,child basic info
Clit1,=1 if child knows how to read and write,1,person,child basic info
Chighgrade1,high grade child has completed (pre-school or first year of basic),1,person,child basic info
Chighgrade2,high grade child has completed (pre-school or first year of basic),2,person,child basic info
Cesc3,completed years of education,3,person,child basic info
Cesc4,completed years of education,4,person,child basic info
Cinschool2,=1 if currently attending school (5 and older),2,person,child basic info
Cinschool3,=1 if currently attending school (5 and older),3,person,child basic info
Cinschool4,=1 if currently attending school (5 and older),4,person,child basic info
Mrelate0,mother's relationship to head,0,person,mother basic info
Mrelate1,mother's relationship to head,1,person,mother basic info
Mrelate2,mother's relationship to head,2,person,mother basic info
Cmomhome0,=1 if child's mom at home,0,person,mother basic info
Cmomhome1,=1 if child's mom at home,1,person,mother basic info
Cmomhome2,=1 if child's mom at home,2,person,mother basic info
Cmomhome3,=1 if child's mom at home,3,person,mother basic info
