COO,GI,GI_cluster,GI_label,NonGI,PDO,PGI,TSG,breed,country,domestic,lnarea,lnproduction,lnsourcing,longevity,maturation,national,organic,packsize,price,producers,smoked,store
Germany,1,Schwarzwälder Schinken,PGI,0,0,1,0,0,Germany,1,9.341368675231934,NA,15.236437797546387,24.18611111111111,3,0,0,100,2.19,NA,1,REWE
NA,0,NA,Non-GI,1,0,0,1,0,Germany,0,NA,NA,15.236437797546387,21.383333333333333,7,1,0,80,2.74,NA,0,REWE
NA,0,NA,Non-GI,1,0,0,1,0,Germany,0,NA,NA,15.236437797546387,21.383333333333333,7,0,0,100,2.99,NA,0,REWE
Germany,1,Schwarzwälder Schinken,PGI,0,0,1,0,0,Germany,1,9.341368675231934,NA,15.236437797546387,24.18611111111111,3,1,0,80,2.36,NA,1,REWE
Germany,1,Schwarzwälder Schinken,PGI,0,0,1,0,0,Germany,1,9.341368675231934,NA,15.236437797546387,24.18611111111111,3,0,1,70,3.7,NA,1,REWE
Italy,1,Prosciutto di Parma,PDO,0,1,0,0,0,Germany,0,6.8877787590026855,11.396391868591309,12.004497528076172,24.77777777777778,14,1,0,70,4.27,140,0,REWE
NA,0,NA,Non-GI,1,0,0,0,0,Germany,0,NA,NA,15.236437797546387,NA,18,0,0,100,4.99,NA,0,REWE
Italy,1,Südtiroler Speck,PGI,0,0,1,0,0,Germany,0,8.909016609191895,9.522181510925293,15.236437797546387,24.77777777777778,5,1,0,80,2.86,28,1,REWE
NA,0,NA,Non-GI,1,0,0,1,0,Germany,0,NA,NA,15.236437797546387,21.383333333333333,11,1,0,80,3.36,NA,0,REWE
NA,0,NA,Non-GI,1,0,0,0,0,Germany,0,NA,NA,15.236437797546387,NA,16,0,0,90,4.77,NA,0,REWE
NA,0,NA,Non-GI,1,0,0,0,1,Germany,0,NA,NA,15.236437797546387,NA,20,0,0,70,8.56,NA,0,REWE
NA,0,NA,Non-GI,1,0,0,0,0,Germany,1,NA,NA,15.236437797546387,NA,0,0,0,150,1.09,NA,0,REWE
NA,0,NA,Non-GI,1,0,0,1,0,Germany,0,NA,NA,15.236437797546387,21.383333333333333,11,1,0,80,2.69,NA,0,EDEKA
Germany,1,Schwarzwälder Schinken,PGI,0,0,1,0,0,Germany,1,9.341368675231934,NA,15.236437797546387,24.18611111111111,3,0,1,100,2.99,NA,1,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Germany,1,NA,NA,15.236437797546387,NA,0,1,0,80,1.49,NA,1,EDEKA
Germany,1,Schwarzwälder Schinken,PGI,0,0,1,0,0,Germany,1,9.341368675231934,NA,15.236437797546387,24.18611111111111,3,1,0,80,1.49,NA,1,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Germany,1,NA,NA,15.236437797546387,NA,0,1,0,80,1.49,NA,0,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Germany,1,NA,NA,15.236437797546387,NA,0,1,0,100,2.15,NA,1,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Germany,0,NA,NA,15.236437797546387,NA,11,1,0,80,2.69,NA,0,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Germany,0,NA,NA,15.236437797546387,NA,12,0,0,70,2.84,NA,0,EDEKA
NA,0,NA,Non-GI,1,0,0,1,0,Germany,0,NA,NA,15.236437797546387,21.383333333333333,11,0,0,80,2.49,NA,0,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Germany,1,NA,NA,15.236437797546387,NA,4,0,0,200,1.1,NA,0,EDEKA
NA,0,NA,Non-GI,1,0,0,1,0,Germany,0,NA,NA,15.236437797546387,21.383333333333333,16,1,0,70,3.07,NA,0,EDEKA
NA,0,NA,Non-GI,1,0,0,1,0,Germany,0,NA,NA,15.236437797546387,21.383333333333333,12,0,0,80,2.49,NA,0,EDEKA
Germany,1,Schwarzwälder Schinken,PGI,0,0,1,0,0,Germany,1,9.341368675231934,NA,15.236437797546387,24.18611111111111,3,0,0,200,1.1,NA,1,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Germany,0,NA,NA,15.236437797546387,NA,7,1,0,80,2.69,NA,0,EDEKA
Italy,1,Prosciutto di Parma,PDO,0,1,0,0,0,Germany,0,6.8877787590026855,11.396391868591309,12.004497528076172,24.77777777777778,16,0,0,90,2.99,140,0,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Germany,1,NA,NA,15.236437797546387,NA,0,0,0,100,2.49,NA,1,EDEKA
Italy,1,Südtiroler Speck,PGI,0,0,1,0,0,Germany,0,8.909016609191895,9.522181510925293,15.236437797546387,24.77777777777778,5,0,0,100,1.99,28,1,EDEKA
NA,0,NA,Non-GI,1,0,0,0,0,Austria,0,NA,NA,15.236437797546387,NA,12,0,0,120,4.99,NA,0,Billa
NA,0,NA,Non-GI,1,0,0,0,0,Austria,1,NA,NA,15.236437797546387,NA,0,0,0,100,2.05,NA,1,Billa
NA,0,NA,Non-GI,1,0,0,0,0,Austria,1,NA,NA,15.236437797546387,NA,0,0,0,100,3.99,NA,1,Billa
Italy,1,Prosciutto di Parma,PDO,0,1,0,0,0,Austria,0,6.8877787590026855,11.396391868591309,12.004497528076172,24.77777777777778,18,0,0,100,5.99,140,0,Billa
NA,0,NA,Non-GI,1,0,0,0,0,Austria,0,NA,NA,15.236437797546387,NA,10,1,0,100,2.49,NA,0,Billa
Italy,1,Prosciutto di San Daniele,PDO,0,1,0,0,0,Austria,0,3.5490424633026123,10.16889762878418,12.025091171264648,24.77777777777778,18,0,0,80,6.24,28,0,Billa
