fips,State2,county,rural_code_2013,insurrectcount,distx_dc,_ID,_CX,_CY,insurrectbinary,urban,distdc,ym28,ym27,ym26,ym25,ym24,ym23,ym22,ym21,ym20,ym19,ym18,ym17,ym16,ym15,ym14,ym13,ym12,ym11,ym10,ym9,ym8,ym7,ym6,ym5,ym4,ym3,ym2,ym1,county_name,pop_white_nh_2020,pop_tot_2020,pop_white_nh_2010,pop_tot_2010,pct_white_nh_2010,pctnhwhite2020,wpdecline,countypop,votes_trump_2020,pcttrump2020,pct_biden2020,trump2020vromney,state,cntydem,cntyrep,cntyoth,cntytot,pctrcdd,pctobjected20,pctrcrd,objected,unemp_15_20,mfgempdecline2,mfg_loss_state,mfgempdecline,TrumpAdvantage,BidenAdvantage,competitive,BidenWonBy20
1001,AL,Autauga,3,0,1120.2589061281583,680,857499.94,3452425.8,0,1,1.1202589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Autauga County, Alabama",41582,58805,42154,54571,77.246155,70.71168,6.534477,0.58805,19838,71.436806,27.018366,-1.1814423,ALABAMA,7357,20081,0,27438,0,1,1,1,4.25,14.625149,12.376313,14.625149,44.41844,-44.41844,0,0
1003,AL,Baldwin,4,0,1333.0379565240275,1221,774342.44,3242497,0,0,1.333038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Baldwin County, Alabama",186495,231767,152200,182265,83.50478,80.46659,3.0381927,2.31767,83544,76.17137,22.40903,-1.1868973,ALABAMA,24326,83964,0,108290,0,1,1,1,4.5333333,12.855177,12.376313,12.855177,53.76234,-53.76234,0,0
1005,AL,Barbour,6,0,1088.8921735222962,2285,982381.6,3390248,0,0,1.0888922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Barbour County, Alabama",11086,25223,12837,27457,46.753105,43.95195,2.801155,0.25223,5622,53.451225,45.788174,5.228096,ALABAMA,4691,5643,0,10334,0,1,1,1,6.5333333,1.5290595,12.376313,1.5290595,7.6630516,-7.6630516,0,0
1007,AL,Bibb,2,0,1121.9588429705689,1979,808048.06,3499043,0,1,1.1219589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bibb County, Alabama",16442,22293,17191,22915,75.02073,73.7541,1.2666321,0.22293,7525,78.42626,20.69828,5.599655,ALABAMA,0,7744,0,7744,0,1,1,1,5.233333,33.77983,12.376313,33.77983,57.72798,-57.72798,0,0
1009,AL,Blount,2,1,1014.90684761617,110,848773.7,3613434,1,1,1.0149069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Blount County, Alabama",49764,59134,50952,57322,88.88734,84.15463,4.732704,0.59134,24711,89.571556,9.569378,3.1056747,ALABAMA,189,24807,0,24996,0,1.0000000149011612,1,1,4.2166667,11.373938,12.376313,11.373938,80.00218,-80.00218,0,0
1011,AL,Bullock,6,0,1090.9277663837104,2938,949216.4,3412670.2,0,0,1.0909277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bullock County, Alabama",2281,10357,2392,10914,21.916803,22.023752000000002,-0.10694885,0.10357,1146,24.842836,74.70193,1.3366356,ALABAMA,3348,1150,0,4498,0,1,1,1,5.633333,1.2566209,12.376313,1.2566209,-49.859093,49.859093,0,1
1013,AL,Butler,6,0,1182.5647196324549,197,862487.56,3364926.2,0,0,1.1825647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Butler County, Alabama",9679,19051,11324,20947,54.060246,50.805733,3.2545128,0.19051,5458,57.525295,41.78963,3.9553719,ALABAMA,3893,5437,0,9330,0,1,1,1,6.233333,20.161001,12.376313,20.161001,15.735664,-15.735664,0,0
1015,AL,Calhoun,4,0,973.640988756201,2684,918939.06,3597341.5,0,0,0.973641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Calhoun County, Alabama",79519,116441,87285,118572,73.6135,68.29124,5.3222656,1.16441,35101,68.84844,29.845243,3.3924026,ALABAMA,14389,36137,0,50526,0,1,1,1,5.6833334,14.673848,12.376313,14.673848,39.003197,-39.003197,0,0
1017,AL,Chambers,5,0,1005.76788124868,2346,969320.9,3506061.8,0,0,1.0057678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chambers County, Alabama",18616,34772,19893,34215,58.141167,53.53733,4.603836,0.34772,8753,57.26904,41.644855,5.075485,ALABAMA,6091,8989,0,15080,0,1,1,1,4.9,40.263535,12.376313,40.263535,15.624184,-15.624184,0,0
1019,AL,Cherokee,6,0,930.2918321902052,2383,934212.9,3644282.2,0,0,0.93029183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cherokee County, Alabama",22563,24971,23929,25989,92.07357,90.35681,1.7167587,0.24971,10583,86.03365,13.202179,9.277336,ALABAMA,1495,10669,0,12164,0,1.0000000074505806,1,1,4.3166666,5.7459044,12.376313,5.7459044,72.831474,-72.831474,0,0
