"FaceID","Age","Race","NoMakeup","Makeup"
1,36,"White",2.425,2.39
2,21,"White",2.82,2.935
3,20,"White",4.27,4.775
4,28,"White",3.72,3.58
5,25,"White",4.165,3.9
6,20,"White",4.7,4.775
7,22,"White",4.68,4.74
8,20,"White",3.81,3.88
9,20,"White",2.605,2.785
10,23,"White",3.755,4.06
11,21,"White",3.045,3.05
12,18,"Asian",3.915,4.045
13,23,"White",3.645,3.735
14,20,"White",4.52,4.72
15,21,"White",3.585,4.04
16,21,"White",3.71,4.395
17,19,"White",3.72,4.05
18,21,"White",4.35,4.485
19,19,"White",3.94,4.23
20,20,"White",3.83,3.68
