"Rater_Sex","Rater_Age","Rater_Race","Rater","Participant","Makeup","rating","Participant_Age","Participant_Race"
"Female",30,"White",1,1,"MM",1,36,"White"
"Female",30,"White",1,1,"NM",1,36,"White"
"Female",30,"White",1,2,"MM",2,21,"White"
"Female",30,"White",1,2,"NM",1,21,"White"
"Female",30,"White",1,3,"MM",3,20,"White"
"Female",30,"White",1,3,"NM",3,20,"White"
"Female",30,"White",1,4,"MM",2,28,"White"
"Female",30,"White",1,4,"NM",3,28,"White"
"Female",30,"White",1,5,"MM",4,25,"White"
"Female",30,"White",1,5,"NM",5,25,"White"
"Female",30,"White",1,6,"MM",6,20,"White"
"Female",30,"White",1,6,"NM",5,20,"White"
"Female",30,"White",1,7,"MM",5,22,"White"
"Female",30,"White",1,7,"NM",5,22,"White"
"Female",30,"White",1,8,"MM",3,20,"White"
"Female",30,"White",1,8,"NM",4,20,"White"
"Female",30,"White",1,9,"MM",3,20,"White"
"Female",30,"White",1,9,"NM",3,20,"White"
"Female",30,"White",1,10,"MM",3,23,"White"
"Female",30,"White",1,10,"NM",4,23,"White"
"Female",30,"White",1,11,"MM",2,21,"White"
"Female",30,"White",1,11,"NM",2,21,"White"
"Female",30,"White",1,12,"MM",4,18,"Asian"
"Female",30,"White",1,12,"NM",4,18,"Asian"
"Female",30,"White",1,13,"MM",3,23,"White"
"Female",30,"White",1,13,"NM",3,23,"White"
"Female",30,"White",1,14,"MM",4,20,"White"
"Female",30,"White",1,14,"NM",5,20,"White"
"Female",30,"White",1,15,"MM",2,21,"White"
"Female",30,"White",1,15,"NM",3,21,"White"
"Female",30,"White",1,16,"MM",4,21,"White"
"Female",30,"White",1,16,"NM",4,21,"White"
"Female",30,"White",1,17,"MM",4,19,"White"
"Female",30,"White",1,17,"NM",4,19,"White"
"Female",30,"White",1,18,"MM",3,21,"White"
"Female",30,"White",1,18,"NM",3,21,"White"
"Female",30,"White",1,19,"MM",3,19,"White"
"Female",30,"White",1,19,"NM",3,19,"White"
"Female",30,"White",1,20,"MM",2,20,"White"
"Female",30,"White",1,20,"NM",4,20,"White"
"Female",25,"White",2,1,"MM",2,36,"White"
"Female",25,"White",2,1,"NM",2,36,"White"
"Female",25,"White",2,2,"MM",5,21,"White"
"Female",25,"White",2,2,"NM",6,21,"White"
"Female",25,"White",2,3,"MM",5,20,"White"
"Female",25,"White",2,3,"NM",6,20,"White"
"Female",25,"White",2,4,"MM",6,28,"White"
"Female",25,"White",2,4,"NM",7,28,"White"
"Female",25,"White",2,5,"MM",6,25,"White"
"Female",25,"White",2,5,"NM",7,25,"White"
"Female",25,"White",2,6,"MM",4,20,"White"
"Female",25,"White",2,6,"NM",5,20,"White"
"Female",25,"White",2,7,"MM",5,22,"White"
"Female",25,"White",2,7,"NM",7,22,"White"
"Female",25,"White",2,8,"MM",2,20,"White"
"Female",25,"White",2,8,"NM",1,20,"White"
"Female",25,"White",2,9,"MM",2,20,"White"
"Female",25,"White",2,9,"NM",5,20,"White"
"Female",25,"White",2,10,"MM",6,23,"White"
"Female",25,"White",2,10,"NM",4,23,"White"
"Female",25,"White",2,11,"MM",2,21,"White"
"Female",25,"White",2,11,"NM",3,21,"White"
"Female",25,"White",2,12,"MM",4,18,"Asian"
"Female",25,"White",2,12,"NM",7,18,"Asian"
"Female",25,"White",2,13,"MM",2,23,"White"
"Female",25,"White",2,13,"NM",3,23,"White"
"Female",25,"White",2,14,"MM",7,20,"White"
"Female",25,"White",2,14,"NM",7,20,"White"
"Female",25,"White",2,15,"MM",3,21,"White"
"Female",25,"White",2,15,"NM",7,21,"White"
"Female",25,"White",2,16,"MM",6,21,"White"
"Female",25,"White",2,16,"NM",7,21,"White"
"Female",25,"White",2,17,"MM",4,19,"White"
"Female",25,"White",2,17,"NM",4,19,"White"
"Female",25,"White",2,18,"MM",6,21,"White"
"Female",25,"White",2,18,"NM",5,21,"White"
"Female",25,"White",2,19,"MM",2,19,"White"
"Female",25,"White",2,19,"NM",4,19,"White"
"Female",25,"White",2,20,"MM",7,20,"White"
"Female",25,"White",2,20,"NM",6,20,"White"
"Female",70,"White",3,1,"MM",4,36,"White"
"Female",70,"White",3,1,"NM",5,36,"White"
"Female",70,"White",3,2,"MM",7,21,"White"
"Female",70,"White",3,2,"NM",5,21,"White"
"Female",70,"White",3,3,"MM",7,20,"White"
"Female",70,"White",3,3,"NM",7,20,"White"
"Female",70,"White",3,4,"MM",5,28,"White"
"Female",70,"White",3,4,"NM",5,28,"White"
"Female",70,"White",3,5,"MM",7,25,"White"
"Female",70,"White",3,5,"NM",7,25,"White"
"Female",70,"White",3,6,"MM",5,20,"White"
"Female",70,"White",3,6,"NM",4,20,"White"
"Female",70,"White",3,7,"MM",7,22,"White"
"Female",70,"White",3,7,"NM",7,22,"White"
"Female",70,"White",3,8,"MM",6,20,"White"
"Female",70,"White",3,8,"NM",5,20,"White"
"Female",70,"White",3,9,"MM",4,20,"White"
"Female",70,"White",3,9,"NM",4,20,"White"
"Female",70,"White",3,10,"MM",7,23,"White"
"Female",70,"White",3,10,"NM",7,23,"White"
"Female",70,"White",3,11,"MM",5,21,"White"
"Female",70,"White",3,11,"NM",5,21,"White"
"Female",70,"White",3,12,"MM",5,18,"Asian"
"Female",70,"White",3,12,"NM",5,18,"Asian"
"Female",70,"White",3,13,"MM",4,23,"White"
"Female",70,"White",3,13,"NM",4,23,"White"
"Female",70,"White",3,14,"MM",7,20,"White"
"Female",70,"White",3,14,"NM",5,20,"White"
"Female",70,"White",3,15,"MM",7,21,"White"
"Female",70,"White",3,15,"NM",6,21,"White"
"Female",70,"White",3,16,"MM",6,21,"White"
"Female",70,"White",3,16,"NM",5,21,"White"
"Female",70,"White",3,17,"MM",5,19,"White"
"Female",70,"White",3,17,"NM",5,19,"White"
"Female",70,"White",3,18,"MM",5,21,"White"
"Female",70,"White",3,18,"NM",4,21,"White"
"Female",70,"White",3,19,"MM",5,19,"White"
"Female",70,"White",3,19,"NM",5,19,"White"
"Female",70,"White",3,20,"MM",6,20,"White"
"Female",70,"White",3,20,"NM",6,20,"White"
"Female",39,"Black or African American",4,1,"MM",1,36,"White"
"Female",39,"Black or African American",4,1,"NM",2,36,"White"
"Female",39,"Black or African American",4,2,"MM",2,21,"White"
"Female",39,"Black or African American",4,2,"NM",2,21,"White"
"Female",39,"Black or African American",4,3,"MM",7,20,"White"
"Female",39,"Black or African American",4,3,"NM",7,20,"White"
"Female",39,"Black or African American",4,4,"MM",4,28,"White"
"Female",39,"Black or African American",4,4,"NM",3,28,"White"
"Female",39,"Black or African American",4,5,"MM",4,25,"White"
"Female",39,"Black or African American",4,5,"NM",5,25,"White"
"Female",39,"Black or African American",4,6,"MM",6,20,"White"
"Female",39,"Black or African American",4,6,"NM",5,20,"White"
"Female",39,"Black or African American",4,7,"MM",6,22,"White"
"Female",39,"Black or African American",4,7,"NM",7,22,"White"
"Female",39,"Black or African American",4,8,"MM",4,20,"White"
"Female",39,"Black or African American",4,8,"NM",3,20,"White"
"Female",39,"Black or African American",4,9,"MM",5,20,"White"
"Female",39,"Black or African American",4,9,"NM",4,20,"White"
"Female",39,"Black or African American",4,10,"MM",5,23,"White"
"Female",39,"Black or African American",4,10,"NM",2,23,"White"
"Female",39,"Black or African American",4,11,"MM",5,21,"White"
"Female",39,"Black or African American",4,11,"NM",4,21,"White"
"Female",39,"Black or African American",4,12,"MM",5,18,"Asian"
"Female",39,"Black or African American",4,12,"NM",4,18,"Asian"
"Female",39,"Black or African American",4,13,"MM",5,23,"White"
"Female",39,"Black or African American",4,13,"NM",5,23,"White"
"Female",39,"Black or African American",4,14,"MM",4,20,"White"
"Female",39,"Black or African American",4,14,"NM",5,20,"White"
"Female",39,"Black or African American",4,15,"MM",5,21,"White"
"Female",39,"Black or African American",4,15,"NM",3,21,"White"
"Female",39,"Black or African American",4,16,"MM",5,21,"White"
"Female",39,"Black or African American",4,16,"NM",5,21,"White"
"Female",39,"Black or African American",4,17,"MM",6,19,"White"
"Female",39,"Black or African American",4,17,"NM",3,19,"White"
"Female",39,"Black or African American",4,18,"MM",4,21,"White"
"Female",39,"Black or African American",4,18,"NM",6,21,"White"
"Female",39,"Black or African American",4,19,"MM",6,19,"White"
"Female",39,"Black or African American",4,19,"NM",6,19,"White"
"Female",39,"Black or African American",4,20,"MM",3,20,"White"
"Female",39,"Black or African American",4,20,"NM",3,20,"White"
"Female",21,"White",5,1,"MM",3,36,"White"
"Female",21,"White",5,1,"NM",3,36,"White"
"Female",21,"White",5,2,"MM",4,21,"White"
"Female",21,"White",5,2,"NM",3,21,"White"
"Female",21,"White",5,3,"MM",4,20,"White"
