dev_id,issue_id,predicted_time_no_ai,predicted_time_ai_allowed,prior_task_exposure_1_to_5,external_resource_needs_1_to_3,ai_treatment,initial_implementation_time,post_review_implementation_time
655,1,360.0,240.0,,,1.0,232.0,10.0
655,2,60.0,30.0,,,1.0,36.0,0.0
655,3,180.0,180.0,,,0.0,170.0,30.0
655,4,300.0,240.0,,,1.0,420.0,20.0
655,5,180.0,120.0,,,0.0,422.0,0.0
655,6,360.0,240.0,,,1.0,377.0,15.0
655,7,120.0,90.0,4,1,1.0,54.0,5.0
655,8,120.0,90.0,4,1,0.0,52.0,0.0
655,9,120.0,90.0,5,1,0.0,95.0,0.0
655,10,90.0,60.0,5,1,0.0,15.0,0.0
655,11,240.0,120.0,3,2,1.0,191.0,0.0
655,12,120.0,90.0,3,1,0.0,95.0,0.0
655,13,30.0,20.0,5,1,0.0,12.0,0.0
655,14,30.0,30.0,5,1,0.0,26.0,10.0
655,15,60.0,45.0,3,3,0.0,63.0,0.0
655,16,120.0,100.0,4,1,1.0,101.0,20.0
655,17,60.0,45.0,4,2,1.0,36.0,0.0
655,18,45.0,30.0,5,1,1.0,7.0,0.0
655,19,120.0,60.0,2,1,1.0,61.0,0.0
655,20,180.0,90.0,2,3,1.0,39.0,0.0
655,21,120.0,90.0,2,2,1.0,91.0,0.0
655,22,100.0,60.0,3,1,0.0,94.0,0.0
655,23,180.0,120.0,3,2,1.0,35.0,0.0
655,24,90.0,60.0,3,2,0.0,88.0,0.0
115,25,120.0,100.0,1,1,0.0,101.0,0.0
115,26,90.0,90.0,2,1,1.0,77.0,
115,27,120.0,100.0,2,2,0.0,39.0,
115,28,240.0,180.0,3,2,1.0,267.0,0.0
115,29,180.0,150.0,1,2,1.0,347.0,0.0
115,30,120.0,100.0,2,1,0.0,43.0,0.0
115,31,120.0,120.0,3,1,1.0,74.0,0.0
115,32,90.0,90.0,3,1,0.0,79.0,0.0
26,33,60.0,60.0,4,2,0.0,90.0,19.0
26,34,60.0,60.0,3,3,1.0,17.0,0.0
26,35,45.0,30.0,5,2,1.0,75.0,30.0
26,36,120.0,110.0,3,2,1.0,134.0,19.0
26,37,200.0,180.0,2,2,1.0,162.0,232.0
26,38,200.0,100.0,2,2,1.0,191.0,10.0
26,39,45.0,45.0,3,2,0.0,59.0,0.0
26,40,240.0,180.0,3,1,0.0,474.0,
26,41,45.0,45.0,3,2,1.0,89.0,0.0
26,42,50.0,50.0,5,3,0.0,81.0,0.0
26,43,240.0,220.0,1,2,1.0,357.0,17.0
26,44,45.0,30.0,5,3,1.0,20.0,2.0
26,45,45.0,45.0,3,3,1.0,115.0,0.0
26,46,30.0,30.0,4,5,1.0,27.0,0.0
26,47,90.0,75.0,3,3,1.0,416.0,0.0
26,48,120.0,120.0,1,1,1.0,78.0,16.0
26,49,45.0,45.0,3,1,0.0,28.0,0.0
760,50,120.0,80.0,,,1.0,100.0,0.0
760,51,90.0,60.0,,,1.0,140.0,0.0
760,52,50.0,30.0,,,1.0,20.0,10.0
760,53,90.0,80.0,,,0.0,80.0,0.0
760,54,90.0,60.0,,,1.0,90.0,0.0
760,55,30.0,20.0,,,1.0,20.0,0.0
760,56,110.0,100.0,,,1.0,175.0,30.0
760,57,70.0,50.0,3,1,1.0,80.0,0.0
760,58,70.0,50.0,4,2,1.0,90.0,0.0
760,59,80.0,60.0,4,3,0.0,30.0,0.0
760,60,60.0,30.0,4,1,0.0,65.0,10.0
760,61,60.0,50.0,2,3,1.0,60.0,0.0
760,62,80.0,50.0,2,3,1.0,150.0,0.0
760,63,50.0,40.0,2,2,0.0,70.0,0.0
760,64,60.0,40.0,4,2,0.0,15.0,0.0
282,65,90.0,80.0,4,2,0.0,43.0,46.0
282,66,120.0,30.0,4,3,1.0,75.0,20.0
282,67,20.0,20.0,5,3,0.0,4.0,2.0
282,68,30.0,20.0,5,3,1.0,9.0,4.0
282,69,40.0,30.0,5,2,1.0,72.0,0.0
282,70,90.0,30.0,4,1,0.0,44.0,5.0
282,71,30.0,25.0,3,2,1.0,51.0,0.0
282,72,60.0,30.0,3,3,0.0,90.0,0.0
282,73,180.0,60.0,5,3,1.0,240.0,20.0
282,74,45.0,30.0,4,2,0.0,25.0,15.0
282,75,60.0,45.0,3,2,0.0,65.0,15.0
282,76,90.0,45.0,5,3,1.0,180.0,15.0
282,77,120.0,45.0,5,2,1.0,180.0,10.0
282,78,45.0,30.0,4,2,0.0,20.0,5.0
282,79,90.0,75.0,4,3,1.0,185.0,10.0
282,80,120.0,60.0,2,1,0.0,40.0,15.0
282,81,30.0,20.0,4,2,0.0,26.0,7.0
251,82,120.0,90.0,4,2,0.0,92.0,0.0
251,83,60.0,60.0,2,1,1.0,28.0,0.0
251,84,120.0,120.0,4,1,1.0,74.0,15.0
251,85,120.0,60.0,4,2,1.0,194.0,0.0
251,86,180.0,180.0,3,3,0.0,47.0,20.0
251,87,180.0,120.0,3,2,1.0,109.0,0.0
251,88,120.0,120.0,3,2,1.0,109.0,20.0
251,89,60.0,60.0,5,3,0.0,55.0,0.0
229,90,60.0,50.0,3,3,1.0,76.0,0.0
229,91,120.0,110.0,3,1,0.0,190.0,0.0
143,92,35.0,32.0,,,1.0,40.0,0.0
143,93,30.0,28.0,,,1.0,22.0,20.0
