anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,q18,q19,q32,q20,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d,tratamiento
1968,50 a 64 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo Este,Masculino,Casado(a) / Unión Libre,6,Sí,Secundaria completa,"Negocio propio, independiente o por cuenta propia",2,No,No,10 - Derecha,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Entre 10 y 20,Entre 10 y 20,Algo de acuerdo,No sabe / Prefiere no contestar,Depende,Bueno,Depende,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos","Si, otro",,,"[Si, otro ]Son muy violentos entre ellos y pelean y discuten mucho",Placebo
1970,50 a 64 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Masculino,Soltero(a),2,No,Universitaria incompleta,Desempleado(a) y buscando trabajo,2,Sí,No,5,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Más de 30,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi",,,"Si, como mis vecinos",,,,,Placebo
2003,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Femenino,Prefiere no contestar,5,No,Prefiere no contestar,Estudiante,3,Sí,Sí,No sabe / Prefiere no contestar,Entre 0 y 20.000,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Depende,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1959,50 a 64 años,Republica Dominicana,Espaillat,Zona 4,Moca,Masculino,Casado(a) / Unión Libre,5,Sí,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,8,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Entre 20 y 30,Más de 30,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1994,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Distrito Nacional,Femenino,Soltero(a),1,Sí,Universitaria incompleta,Desempleado(a) y buscando trabajo,4,Sí,No,3,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Depende,Bueno,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,En desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,"Si, como mis vecinos",,,,,Placebo
1990,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Masculino,Soltero(a),4,No,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),1 - Más pobres,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Menos de 5,No sabe / Prefiere no contestar,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,No sabe / Prefiere no contestar,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,"Si, como mi pareja","Si, como mis vecinos",,,,,Placebo
1988,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo domingo,Femenino,Soltero(a),5,Sí,Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",2,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Personas que veo en las calles , que venden cosas",Placebo
1991,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo domingo oeste,Masculino,Casado(a) / Unión Libre,4,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,No,6,Entre 38.000 y 57.000,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1966,50 a 64 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Masculino,Casado(a) / Unión Libre,3,Sí,Primaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,10 - Derecha,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,No sabe / Prefiere no contestar,Entre 10 y 20,Algo de acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1988,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Masculino,Casado(a) / Unión Libre,2,No,Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",No sabe / Prefiere no contestar,No,No,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Más de 30,Entre 20 y 30,En desacuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi","Si, como mis empleadores","Si, como mi pareja","Si, como mis vecinos",,,,,Placebo
