anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,tratamiento,q18,q19,q20,q21,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d
1966,50 a 64 años,México,México,Centro,Tultitlán de Mariano Escobedo,Masculino,Casado(a) / Unión Civil,6,Sí,Media completa,Jubilado(a) / pensionado(a),3,No,No,0 - Izquierda,Entre 16.400 y 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,De acuerdo,Falta de esfuerzo por su parte,Informativo,Menos de 5,Entre 10 y 20,De acuerdo,No donaría a nadie.,Depende,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,
1945,Más de 65 años,México,Hidalgo,Centro,Pachuca Hidalgo,Masculino,Casado(a) / Unión Civil,5,Sí,Básica completa,Desempleado(a) y buscando trabajo,3,No,Sí,5,Entre 7.300 y 11.300,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Placebo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,
1957,50 a 64 años,México,México,Centro,"León, Gto.",Masculino,Separado(a) / Divorciado(a) / Viudo(a),1,Sí,Terciaria/Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",2,No,No,8,Entre 7.300 y 11.300,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Informativo,Entre 5 y 10,Entre 20 y 30,Algo de acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1970,50 a 64 años,México,Guanajuato,Norte,"Salamanca, Gto.",Femenino,Casado(a) / Unión Civil,3,Sí,Terciaria/Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",2,Sí,No,0 - Izquierda,Entre 11.300 y 16.400,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Placebo,Entre 5 y 10,Menos de 5 personas,De acuerdo,Una organización que protege el medio ambiente.,Depende,Depende,Depende,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Personas que trabajan en algunos logares a los que asisto"
1968,50 a 64 años,México,Jalisco,Pacífico,Guadalajara,Femenino,Casado(a) / Unión Civil,5,Sí,Terciaria/Universitaria completa o más,Desempleado(a) y buscando trabajo,3,No,No,5,Entre 7.300 y 11.300,No los tendría como vecinos,No los tendría como vecinos,No los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Entre 10 y 20,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,De acuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1956,Más de 65 años,México,Nayarit,Pacífico,Sayula,Masculino,Casado(a) / Unión Civil,2,Sí,Terciaria/Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",1 - Más pobres,No,No,5,Entre 0 y 7.300,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Placebo,Menos de 5,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1945,Más de 65 años,México,Querétaro,Norte,Querétaro,Femenino,Separado(a) / Divorciado(a) / Viudo(a),1,Sí,Terciaria/Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",3,No,Sí,0 - Izquierda,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Emotivo,Entre 20 y 30,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Depende,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1955,Más de 65 años,México,Michoacán,Pacífico,Morelia,Masculino,Casado(a) / Unión Civil,2,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),3,No,No,3,Más de 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Informativo,Menos de 5,Más de 30,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Depende,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,
1958,50 a 64 años,México,Sonora,Pacífico,Cananea,Masculino,Soltero(a),2,Sí,Terciaria/Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",3,No,No,0 - Izquierda,Entre 16.400 y 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Informativo,Menos de 5,Más de 30,De acuerdo,No donaría a nadie.,Bueno,Depende,Depende,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,
1945,Más de 65 años,México,Puebla,Centro,"PUEBLA,SAN ANDRES CHOLULA,LOMAS DE ANGELÓPOLIS",Masculino,Casado(a) / Unión Civil,2,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),3,No,Sí,5,Más de 25.100,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Placebo,Entre 10 y 20,Menos de 5 personas,De acuerdo,Una organización que protege el medio ambiente.,Depende,Depende,Depende,No sabe / Prefiere no contestar,De acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
