Condition,White,SubID,Gender,Ethnicity,YOB,TookBreak,TookSeriously,AboutGuess,Comments,ExplainChoice,FoodList,ValueName,ValueImportance,ValueDescription,RandomTime,DescOther,Other.Work,Other.Friend,Other.Respect,Intelligent,Strong,Pleasant,Funny,Confident,Mature,Active,Kind,Nice,Warm,Honest,Fair,Moral,Independent,Self.Moral,Self.disappointed,Self.good,Self.uncomfortable,Self.happywself,Self.determined,Self.annoyed,Self.happy,Self.guilty,Self.comfortable,Self.peaceful,Self.uneasy,Self.disgusted,Self.excited,Self.pleased,Self.energetic,Self.angry,Self.bothered,Self.friendly,Self.dissatisfied,Self.fatigued,Self.selfcrit,Self.optimistic,Self.secure,Self.lonely,Choice.happy,Choice.representative,Choice.anyone,Choice.sufficientinfo,Choice.nochoice,Self.Work,Self.Friend,Self.Respect
Obedient,NO-WHITE,A2696V6A6VADDF,1,3,1984,1,5,How one bases what he thinks of others on account of their decisions.,I should have answered the 1st question better.....,Weak alabi and had a screw driver / ,"Meat and beans, burgers , mostly soda, some water, chicken and tortilla, cereal",,,,12.437,"To me, he seems real educated. He knew how to post his answer properly and gave strong reasons for his answer.",4,4,6,7,7,5,2,6,7,4,4,4,3,6,6,6,6,70,7,2,6,2,2,5,4,6,2,2,6,4,2,2,2,5,5,2,7,6,6,2,2,7,7,7,7,7,7,4,5,6
Obedient,,A3M9BSMNRLS7R2,2,1,1966,1,5,How a person's demographics affects their decisions.,,"He has previously been convicted of a burglary, has a screwdriver in his pocket and although he is unemployed, he has $400 cash in his possession.","Water, limeade, milk, chocolate milk, pancakes, rice and beans, beef and tomatoes, mango, Toblerone chocolate bar, ham and cheese sandwich, avocado, soup with rice, hamburger, cookie, ice cream bar, orange soda.",,,,20.636,"I think the person is educated, but grammar is not used properly in her home based on her use of ""He's got no real alibi."". Words were spelled correctly which indicates she is a more detailed person.",4,4,4,6,4,5,4,5,4,5,4,4,4,4,5,4,5,85,1,6,1,6,6,1,6,1,6,6,1,3,NA,6,5,1,1,6,1,2,2,6,6,5,6,6,6,5,6,5,5,5
Obedient,,A1LGEODK01A8RM,1,1,1990,1,5,How honest a person can be with themselves and the world.,Thanks for the survey.,"Steven has a serious record, was caught with oddly valuable possessions, and has a weak alibi. ","Roast beef, lots of coffee, peach iced tea, sandwiches, toast, lemon water, spaghetti, cereal, oatmeal.",,,,15.808,"I think, like me, he chose AFTER reading the criminal records. It's so easy to stereotype and sadly many people can only think one way.",6,5,6,7,6,6,4,5,7,7,6,6,6,7,7,7,6,90,1,5,1,5,5,1,1,1,6,4,1,1,1,1,3,1,1,5,1,NA,NA,1,5,1,7,7,4,7,4,6,5,6
Obedient,,AUH2TOW6SNFVY,2,1,1989,1,5,The study was about how we align ourselves with peers,,"I chose Steven Jones because of his previous record, evidence found, and potential motive (unemployed, needing money).",Cupcakes / Frozen yogurt / Chicken & rice bowl / Candy / Spaghetti / Diet Soda / Oatmeal / Cookies / Pizza / Salad / Beer / Chocolate Chip Waffles / Tortilla / Cheese / BBQ sandwich / Cinnamon rolls,,,,10.82,"She seems to be aware of the obvious.  She seems younger than me (which she is, based on the year she was born). She didn't really dig deep with her responses, but I agree with what she's saying and don't feel like anything said was unreasonable.",5,4,6,6,6,5,6,5,3,3,5,5,5,6,6,6,5,86,2,6,1,6,6,2,6,2,6,6,1,1,6,5,5,1,1,6,1,3,2,6,6,1,7,7,7,7,7,5,4,6
Obedient,,A36WKYYMSGQXN7,2,1,1982,1,5,I think it was about race and previous histories of people,,"Based on past history, no alibi, no emplyment, items he had when apprehended","Hot tea, pepsi, water, coffee, milk, chicken pita, pizza, grapes, suckers, mac n cheese, cereal",,,,12.317,I think that the other participant sounds a lot like myself. She used reasoning to come to the conclusion about who might have did the burglary. It sounds like she understands how people work. My first impression is that she is a smart woman. I believe that if I met her we would be alike and get along.,7,6,7,7,5,1,1,1,1,3,1,1,1,1,1,1,1,70,3,6,2,3,6,5,3,1,3,2,6,5,4,2,4,5,2,7,2,7,5,4,3,6,7,7,5,7,6,5,5,6
Obedient,,A2VN8Q8X7WWIM,1,1,1957,1,5,bigotry,none,Jones is pretty clearly a prime suspect. Although I dont like the looks of the other two either. They look very shifty to me.,"McD's garbage: burger, fish, fries, Coke, apple pies. ",,,,24.095,"I think he or she most be a bigot and hates blacks. I also feel she/he distrusts all men in general. Especially white cracker looking fellows like suspect 1 and 2 above. He/she is also 5ft4in to 6ft2in tall weiging 150 to 200 pounds. Dark hair, probably needs s have someplace on the body too. I suspect he/she also smells of McD food.",4,4,4,5,4,5,5,7,6,7,5,5,6,4,5,5,5,100,1,7,1,7,7,1,7,1,7,7,1,1,3,4,1,1,2,3,1,2,3,7,7,1,4,4,4,4,4,4,4,4
Obedient,,A1ET2J1PIP0RGO,1,1,1979,1,5,making decisions and forming impressions about other people,,"He had previous criminal record, and he had too much cash on him and a screwdriver.","wine,beer,water,milk,fried chicken,eggs,bread,salad,sprouts,fruit.",,,,20.314,"He is a student, he is rational, and fair.He makes good judgments,  he is not shy.",5,4,5,7,5,5,5,5,5,5,6,5,5,7,7,7,6,60,1,6,1,4,4,1,6,1,6,6,1,1,3,5,5,1,1,4,1,2,1,6,6,2,7,7,7,7,7,4,4,4
Obedient,,,1,1,1967,1,5,the way people form oppinions about one another.,Maybe make one of the other suspects look a little worse!,"he has a record for burglery, he had alot of money and a screw driver on him, maybe he used the screwdriver to help him get the money.","pizza, coke,biscutes and gravy, two eegs,oatmeal,coffee, water",,,,34.514,"I think the other person is not very well educated because of his writing syle (he got no), maybe he's from the hood. He kind of seemed like he could realate to the suspect.",6,5,6,4,5,4,4,5,3,4,4,4,3,4,7,7,6,50,1,4,1,6,3,1,3,1,3,3,1,1,2,3,2,1,1,1,1,4,2,3,7,1,7,7,7,7,7,3,2,5
Obedient,,A34R36EOWJZ7U9,1,1,1965,1,5,If people are prejudice towards blacks?,I no further thoughts at this time.,I chose steven not because he is black but because he was already arrested a few years back for the same crime. the others mark had no previous record and the worst peter had was a speeding ticket.,soda and v-8 juice / chicken / donuts / fish / rice crackers  / ice cream / cheese / hamburgers,,,,21.846,I don't know he seems rather intelligent and level headed capable of sound resoning and judgment.I guess I would not mind meeting the man in person. I really do not have that much more to say given the limited amount of information that I receaved about him.,6,5,NA,6,5,5,5,5,6,5,5,6,5,6,6,6,6,81,2,4,2,3,6,3,4,1,4,3,3,1,3,4,3,2,3,4,2,5,2,3,4,1,7,5,7,7,7,5,5,6
Obedient,,AHXO376ALG8WN,2,1,1992,1,5,"Judging others, which is not quite right cause I did not judge that dude cause he was black.  I dislike white rich old business dudes way more than criminals.","Maybe make the attitudes questionare a bit simpler to understand/ follow, by adding lines or color stripes.  It's hard to tell which bubble you're filling in.",He has a previous record.  And he is unemployed so he has the most reason to need the money.,"2 breakfast toquitos, glass of oj, special chocolate chip cookies :D, bowl of caramel vanilla ice cream, salad, bowl of fruit and yogurt special K, soy milk, 2 cheese burritos and rice, cheese manicotti, capri sun, lots of bottled water and iced tea",,,,7.015,"She is probably similar to me as she is a year younger than me and has the same reasonable deductions about the suspect that I do.  She simply wrote more than I did. I really have no idea what she is like because she wrote her opinion on a possible criminal, that tells me basically nothing about her.",2,5,6,5,5,5,4,5,3,5,5,5,5,6,7,4,4,79,1,7,1,7,7,1,7,1,7,7,1,1,5,6,3,1,1,6,1,3,1,7,7,1,6,6,7,7,7,3,5,7
Obedient,,A2WJGI7XNUBRND,1,1,1965,1,5,to see if we have black shame????,,"The amount of money and the screwdriver, no alibi( unless he can give detailed description of what he watched and prior record.",chinken finger / pop tarts / party mix / pizza / 2 liters mountain dew / 2 20 oz bottles of water / ,,,,12.065,freshman in college. Educated. Well spoken.  Might be interested to meet him for a few drinks.,6,6,6,7,5,6,5,6,6,6,5,6,5,6,5,6,6,91,3,6,2,5,6,3,5,1,5,6,1,1,3,6,5,1,2,6,1,5,5,6,5,2,6,7,7,4,6,6,6,6
Obedient,,A3LUOS92H4EZVP,1,1,1982,1,5,"I think the study was about how people judge others and what carries the most weight with them, in regards to their decisions and perspectives.","I found it interesting how the logical, very obvious choice of the #1 suspect was the only black guy.  I imagine that is part of the study, to see how many people include race as a contributing factor.  By the way, while I noted his race and thought these thoughts as I was choosing my #1 suspect, race was not a factor in my decision.","Steven Jones was the only suspect with an alibi that included him being alone.  He also is the only suspect with a previous record that amounts to anything over a traffic violation, and it was for burglary.  He possessed $400 in cash and a screwdriver when he was apprehended, which is highly suspicious.  He also happens to be unemployed, whereas the other two are not.",turkey and cheese sandwich; eggs; french toast; pop; milk; water; lasagna; pizza; fast food double cheeseburger,,,,23.01,"The other participant is at least fairly intelligent and is a logical, reasonable person.  He is a ""regular"" guy that is both hard-working and likes to hang out and blow off steam with friends.  He is a good guy who is laid-back but also isn't afraid to speak his mind.  If I met him, it would likely be a positive encounter, as we seem to have a lot in common.",6,6,6,6,6,6,6,7,6,7,6,6,5,7,7,6,7,99,1,5,1,5,4,1,5,1,6,5,1,1,1,6,6,1,1,5,1,1,1,6,6,3,7,7,6,7,6,6,6,6
