"id","time","cohort","frequency_black","frequency_hispanic","frequency_asian","frequency_gay","frequency_trans","respect","centrality","yearsworked","rank","race_white","race_black","gender_d","education_ba","attendance","facilduo_gender","facilduo_race","facilduo_le","facilduo_relatedle","facilduo_relatedle_nole","knowledge","theories","strategy","biasworry","strat_know","strat_efficacy","strat_mot","strat","race","education","substitution","perspective","exposure","individuation","mindful","knowledge_bias","knowledge_race","knowledge_culture","theories1","theories2","biasworry_black","biasworry_asian","biasworry_hispanic","biasworry_lgb","biasworry_trans","biasworry_white","centrality1","centrality2","centrality3","respect1","respect2","respect3","respect4"
"s3991",1,2,5,5,3,5,3,3.5,5,21,1,1,0,0,1,50,"mf","bw",0,1,1,6.33333333333333,4.5,1.8,2,NA,NA,NA,NA,1,6,1,3,0,1,4,7,5,7,3,6,2,2,2,2,2,2,6,5,4,4,5,4,1
"s3991",2,2,5,5,3,5,3,3.5,5,21,1,1,0,0,1,50,"mf","bw",0,1,1,5.66666666666667,4,3.4,4.6,4,3,3,3.33333333333333,1,6,3,5,1,2,6,6,5,6,2,6,5,5,5,3,5,5,6,5,4,4,5,4,1
"s3991",3,2,5,5,3,5,3,3.5,5,21,1,1,0,0,1,50,"mf","bw",0,1,1,3,6,2.6,2.4,4,3,4,3.66666666666667,1,6,0,6,1,0,6,5,2,2,6,6,2,2,2,1,5,NA,6,5,4,4,5,4,1
"s4014",1,2,4,4,3,3,3,5,4,20,0,0,0,1,1,54,"mf","bw",0,0,0,5,3,1,1,NA,NA,NA,NA,4,6,1,1,1,1,1,5,5,5,3,3,1,1,1,1,1,1,4,4,4,5,5,5,5
"s4014",2,2,4,4,3,3,3,5,4,20,0,0,0,1,1,54,"mf","bw",0,0,0,5,5,2,4.2,4,4,4,4,4,6,0,3,4,2,1,5,5,5,5,5,5,3,3,5,5,4,4,4,4,5,5,5,5
"s4014",3,2,4,4,3,3,3,5,4,20,0,0,0,1,1,54,"mf","bw",0,0,0,3,5.5,2.6,1.6,2,4,2,2.66666666666667,4,6,2,6,0,2,3,5,1,3,5,6,1,1,1,3,2,NA,4,4,4,5,5,5,5
"s4015",1,2,5,5,1,1,0,2.5,1,22,0,1,0,1,1,51,"mf","bw",0,0,0,1,7,0.6,1,NA,NA,NA,NA,1,5,0,3,0,0,0,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,7,1
"s4015",2,2,5,5,1,1,0,2.5,1,22,0,1,0,1,1,51,"mf","bw",0,0,0,2,6.5,2.2,1,5,3,4,4,1,5,1,2,0,2,6,2,2,2,6,7,1,1,1,1,1,1,1,1,1,1,1,7,1
"s4015",3,2,5,5,1,1,0,2.5,1,22,0,1,0,1,1,51,"mf","bw",0,0,0,2.33333333333333,7,0,1,5,2,5,4,1,5,0,0,0,0,0,2,2,3,7,7,1,1,1,1,1,NA,1,1,1,1,1,7,1
"s4221",1,2,4,4,1,1,1,6,1,26,0,1,0,1,1,52,"mf","bw",0,0,0,2.66666666666667,5,2.8,3,NA,NA,NA,NA,1,6,0,3,3,5,3,3,3,2,5,5,3,3,3,3,3,3,1,1,1,6,7,5,6
"s4221",2,2,4,4,1,1,1,6,1,26,0,1,0,1,1,52,"mf","bw",0,0,0,3.66666666666667,5,0,3,2,2,2,2,1,6,0,0,0,0,0,3,3,5,5,5,3,3,3,3,3,3,1,1,1,6,7,5,6
"s4221",3,2,4,4,1,1,1,6,1,26,0,1,0,1,1,52,"mf","bw",0,0,0,4.33333333333333,5,0.4,2.2,4,4,4,4,1,6,0,2,0,0,0,6,4,3,5,5,3,2,2,2,2,NA,1,1,1,6,7,5,6
"s4237",1,2,5,4,1,3,1,7,5,22,1,0,0,1,1,52,"mf","bw",1,1,0,2.66666666666667,6,0,1,NA,NA,NA,NA,3,6,0,0,0,0,0,1,1,6,6,6,1,1,1,1,1,1,4,5,6,7,7,7,7
"s4237",2,2,5,4,1,3,1,7,5,22,1,0,0,1,1,52,"mf","bw",1,1,0,1,4,0,1,5,2,1,2.66666666666667,3,6,0,0,0,0,0,1,1,1,3,5,1,1,1,1,1,1,4,5,6,7,7,7,7
"s4237",3,2,5,4,1,3,1,7,5,22,1,0,0,1,1,52,"mf","bw",1,1,0,1.33333333333333,7,0,1,4,2,1,2.33333333333333,3,6,0,0,0,0,0,1,1,2,7,7,1,1,1,1,1,NA,4,5,6,7,7,7,7
"s4309",1,2,4,4,4,4,4,1,1,25,1,0,1,1,1,9,"mf","bw",0,0,0,4.33333333333333,5,5,1,NA,NA,NA,NA,2,6,5,5,5,5,5,1,7,5,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1
"s4309",2,2,4,4,4,4,4,1,1,25,1,0,1,1,1,9,"mf","bw",0,0,0,6,5,5,5,5,5,5,5,2,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1
"s4309",3,2,4,4,4,4,4,1,1,25,1,0,1,1,1,9,"mf","bw",0,0,0,4,5,5,1,5,5,5,5,2,6,5,5,5,5,5,4,3,5,5,5,1,1,1,1,1,NA,1,1,1,1,1,1,1
"s4317",1,2,3,3,3,3,3,5,2.66666666666667,24,0,0,1,1,0,52,"mf","bw",1,1,0,5,7,0,2,NA,NA,NA,NA,2,3,0,0,0,0,0,7,2,6,7,7,2,2,2,2,2,2,1,5,2,2,6,6,6
"s4317",2,2,3,3,3,3,3,5,2.66666666666667,24,0,0,1,1,0,52,"mf","bw",1,1,0,4,4,1.6,4,4,3,4,3.66666666666667,2,3,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,1,5,2,2,6,6,6
"s4317",3,2,3,3,3,3,3,5,2.66666666666667,24,0,0,1,1,0,52,"mf","bw",1,1,0,4.66666666666667,6,0,2.8,4,3,3,3.33333333333333,2,3,0,0,0,0,0,4,5,5,6,6,2,2,2,4,4,NA,1,5,2,2,6,6,6
"s4421",1,2,5,5,2,3,1,7,4.33333333333333,29,1,1,0,1,1,55,"ff","bw",0,0,0,2,5,0,1,NA,NA,NA,NA,1,5,0,0,0,0,0,2,1,3,5,5,1,1,1,1,1,1,5,5,3,7,7,7,7
