"fips","county_state_clean_gini","gini_index","gini_margin","county_state_clean_social","social_capital_index","current_state","county_clean","income_2021","income_2022","income_2023"
"01001","Autauga County, Alabama","0.4552","0.0326","Autauga County, Alabama","2.1922899999999999E-2","Alabama","Autauga",49174,49811,53079
"01003","Baldwin County, Alabama","0.4566","0.0119","Baldwin County, Alabama","1.6798E-2","Alabama","Baldwin",56285,57621,60969
"01005","Barbour County, Alabama","0.5047","0.0252","Barbour County, Alabama","-1.162053","Alabama","Barbour",40954,41031,41531
"01007","Bibb County, Alabama","0.4500","0.0408","Bibb County, Alabama","-0.1360188","Alabama","Bibb",37362,38196,39835
"01009","Blount County, Alabama","0.4685","0.0247","Blount County, Alabama","0.1848177","Alabama","Blount",42975,44063,45021
"01011","Bullock County, Alabama","0.4985","0.0400","Bullock County, Alabama",NA,"Alabama","Bullock",34068,33429,36061
"01013","Butler County, Alabama","0.4667","0.0279","Butler County, Alabama",NA,"Alabama","Butler",45438,47502,49192
"01015","Calhoun County, Alabama","0.4581","0.0160","Calhoun County, Alabama","-0.9757612","Alabama","Calhoun",43215,42668,44737
"01017","Chambers County, Alabama","0.4182","0.0204","Chambers County, Alabama","-1.2726930000000001","Alabama","Chambers",39269,39447,40735
"01019","Cherokee County, Alabama","0.4596","0.0278","Cherokee County, Alabama","-0.52313710000000002","Alabama","Cherokee",44590,44563,45099
"01021","Chilton County, Alabama","0.4603","0.0379","Chilton County, Alabama","-0.4338321","Alabama","Chilton",42839,43454,46120
"01023","Choctaw County, Alabama","0.4534","0.0227","Choctaw County, Alabama","0.1709724","Alabama","Choctaw",43626,47125,49356
"01025","Clarke County, Alabama","0.5303","0.0382","Clarke County, Alabama","-0.27818520000000002","Alabama","Clarke",45076,44788,47362
"01027","Clay County, Alabama","0.4848","0.0482","Clay County, Alabama","-0.4562775","Alabama","Clay",39465,39456,39082
"01029","Cleburne County, Alabama","0.4638","0.0339","Cleburne County, Alabama","0.61337260000000005","Alabama","Cleburne",42929,44251,44266
"01031","Coffee County, Alabama","0.4310","0.0146","Coffee County, Alabama","-0.72098079999999998","Alabama","Coffee",50369,51776,53573
"01033","Colbert County, Alabama","0.4352","0.0151","Colbert County, Alabama","-0.56628049999999996","Alabama","Colbert",44126,44800,47137
"01035","Conecuh County, Alabama","0.4392","0.0343","Conecuh County, Alabama",NA,"Alabama","Conecuh",41418,41390,42999
"01037","Coosa County, Alabama","0.4291","0.0487","Coosa County, Alabama","-0.39121509999999998","Alabama","Coosa",39176,38739,40420
"01039","Covington County, Alabama","0.4786","0.0285","Covington County, Alabama",NA,"Alabama","Covington",41775,42259,43081
