Rank	Time	Wind	Name	Country	Birthdate	City	Date
1	10.49	0.0	Florence Griffith-Joyner	USA	21.12.59	Indianapolis	16.07.1988
2	10.54	+0.9	Elaine Thompson-Herah	JAM	28.06.92	Eugene	21.08.2021
3	10.60	+1.7	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Lausanne	26.08.2021
4	10.61	+1.2	Florence Griffith-Joyner	USA	21.12.59	Indianapolis	17.07.1988
4	10.61	-0.6	Elaine Thompson-Herah	JAM	28.06.92	Tokyo	31.07.2021
6	10.62	+1.0	Florence Griffith-Joyner	USA	21.12.59	Seoul	24.09.1988
7	10.63	+1.3	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	05.06.2021
8	10.64	+1.2	Carmelita Jeter	USA	24.11.79	Shanghai	20.09.2009
8	10.64	+1.7	Elaine Thompson-Herah	JAM	28.06.92	Lausanne	26.08.2021
10	10.65A	+1.1	Marion Jones	USA	12.10.75	Johannesburg	12.09.1998
11	10.67	-0.1	Carmelita Jeter	USA	24.11.79	Thessalon&iacute;ki	13.09.2009
12	10.70	+1.6	Florence Griffith-Joyner	USA	21.12.59	Indianapolis	17.07.1988
12	10.70	-0.1	Marion Jones	USA	12.10.75	Sevilla	22.08.1999
12	10.70	+2.0	Carmelita Jeter	USA	24.11.79	Eugene	04.06.2011
12	10.70	+0.6	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	29.06.2012
12	10.70	+0.3	Elaine Thompson-Herah	JAM	28.06.92	Kingston	01.07.2016
17	10.71	+0.1	Marion Jones	USA	12.10.75	Chengdu	12.05.1998
17	10.71	+2.0	Marion Jones	USA	12.10.75	New Orleans	19.06.1998
17	10.71	-0.3	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Moskva	12.08.2013
17	10.71	+0.5	Elaine Thompson-Herah	JAM	28.06.92	Rio de Janeiro	13.08.2016
17	10.71	+0.8	Elaine Thompson-Herah	JAM	28.06.92	Kingston	23.06.2017
17	10.71	+0.1	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Ad-Dawhah	29.09.2019
17	10.71	+1.0	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	25.06.2021
17	10.71	+0.6	Elaine Thompson-Herah	JAM	28.06.92	Sz&eacute;kesfeh&eacute;rv&aacute;r	06.07.2021
25	10.72	+2.0	Marion Jones	USA	12.10.75	New Orleans	20.06.1998
25	10.72	0.0	Marion Jones	USA	12.10.75	Monaco	08.08.1998
25	10.72	0.0	Marion Jones	USA	12.10.75	Lausanne	25.08.1998
25	10.72	-0.3	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Bruxelles	06.09.2013
25	10.72	+0.6	Elaine Thompson-Herah	JAM	28.06.92	Bruxelles	09.09.2016
25	10.72	+1.6	Sha'Carri Richardson	USA	25.03.00	Miramar	10.04.2021
25	10.72	+1.3	Elaine Thompson-Herah	JAM	28.06.92	Paris	28.08.2021
32	10.73	+2.0	Christine Arron	FRA	13.09.73	Budapest	19.08.1998
32	10.73	+0.1	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Berlin	17.08.2009
32	10.73	+0.6	Elaine Thompson-Herah	JAM	28.06.92	Kingston	21.06.2019
32	10.73	+0.6	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	21.06.2019
32	10.73	+0.3	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Tokyo	31.07.2021
32	10.73	+0.9	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Eugene	21.08.2021
38	10.74	+1.3	Merlene Ottey	JAM	10.05.60	Milano	07.09.1996
38	10.74	+0.2	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Saint-Denis	04.07.2015
38	10.74	+1.0	English Gardner	USA	22.04.92	Eugene	03.07.2016
38	10.74	+0.2	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Lausanne	05.07.2019
38	10.74	+1.1	Sha'Carri Richardson	USA	25.03.00	Walnut	09.05.2021
38	10.74	-0.6	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Tokyo	31.07.2021
44	10.75	+0.6	Marion Jones	USA	12.10.75	Roma	14.07.1998
44	10.75	+0.4	Kerron Stewart	JAM	16.04.84	Roma	10.07.2009
44	10.75	+0.1	Kerron Stewart	JAM	16.04.84	Berlin	17.08.2009
44	10.75	+1.5	Shelly-Ann Fraser-Pryce	JAM	27.12.86	London	04.08.2012
44	10.75	+1.6	Sha'Carri Richardson	USA	25.03.00	Austin	08.06.2019
49	10.76	+1.7	Evelyn Ashford	USA	15.04.57	Z&uuml;rich	22.08.1984
49	10.76	+0.9	Marion Jones	USA	12.10.75	Bruxelles	22.08.1997
49	10.76	+0.3	Marion Jones	USA	12.10.75	Sevilla	21.08.1999
49	10.76	+1.1	Veronica Campbell-Brown	JAM	16.05.82	Ostrava	31.05.2011
49	10.76	-0.3	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Beijing	24.08.2015
49	10.76	0.0	Elaine Thompson-Herah	JAM	28.06.92	Tokyo	31.07.2021
49	10.76	-0.6	Shericka Jackson	JAM	16.07.94	Tokyo	31.07.2021
49	10.76	+0.9	Shericka Jackson	JAM	16.07.94	Eugene	21.08.2021
57	10.77	+0.9	Irina Privalova	RUS	12.11.68	Lausanne	06.07.1994
57	10.77	-0.9	Marion Jones	USA	12.10.75	Z&uuml;rich	12.08.1998
57	10.77	+0.7	Ivet Lalova-Collio	BUL	18.05.84	Plovdiv	19.06.2004
57	10.77	+0.7	Shelly-Ann Fraser-Pryce	JAM	27.12.86	London	27.07.2013
57	10.77	-1.2	Sha'Carri Richardson	USA	25.03.00	Walnut	09.05.2021
57	10.77	+0.9	Shericka Jackson	JAM	16.07.94	Kingston	25.06.2021
63	10.78A	+1.0	Dawn Sowell	USA	27.03.66	Provo	03.06.1989
63	10.78	+1.7	Merlene Ottey	JAM	10.05.60	Sevilla	30.05.1990
63	10.78	+0.4	Merlene Ottey	JAM	10.05.60	Paris	03.09.1994
63	10.78	+1.1	Marion Jones	USA	12.10.75	London	05.08.2000
63	10.78	+1.8	Torri Edwards	USA	31.01.77	Eugene	28.06.2008
63	10.78	0.0	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Beijing	17.08.2008
63	10.78	+0.8	Veronica Campbell-Brown	JAM	16.05.82	Eugene	03.07.2010
63	10.78	+0.4	Carmelita Jeter	USA	24.11.79	Bruxelles	16.09.2011
63	10.78	+1.5	Carmelita Jeter	USA	24.11.79	London	04.08.2012
63	10.78	+1.6	Murielle Ahour&eacute;	CIV	23.08.87	Montverde	11.06.2016
63	10.78	+1.0	Tianna Bartoletta	USA	30.08.85	Eugene	03.07.2016
63	10.78	+1.0	Tori Bowie	USA	27.08.90	Eugene	03.07.2016
63	10.78	+0.8	Elaine Thompson-Herah	JAM	28.06.92	Lausanne	25.08.2016
63	10.78	-0.3	Elaine Thompson-Herah	JAM	28.06.92	Shanghai	13.05.2017
63	10.78	+0.7	Shelly-Ann Fraser-Pryce	JAM	27.12.86	London	21.07.2019
63	10.78	-0.3	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	Tokyo	30.07.2021
79	10.79A	+0.6	Evelyn Ashford	USA	15.04.57	Colorado Springs	03.07.1983
79	10.79	+1.7	Merlene Ottey	JAM	10.05.60	Vigo	23.07.1991
79	10.79	0.0	Li Xuemei	CHN	05.01.77	Shanghai	18.10.1997
79	10.79	-0.6	Marion Jones	USA	12.10.75	Osaka	09.05.1998
79	10.79	-0.1	Inger Miller	USA	12.06.72	Sevilla	22.08.1999
79	10.79	-0.1	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Berlin	17.08.2009
79	10.79	+1.1	Blessing Okagbare	NGR	09.10.88	London	27.07.2013
79	10.79	+1.5	English Gardner	USA	22.04.92	Eugene	26.06.2015
79	10.79	+0.4	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	26.06.2015
