state_code,state_name,licensing_guide_url,continuing_education_guide_url,tsi_course_availability,tsi_course_options_url,directory_reviewed_date
AK,Alaska,https://tsinational.com/alaska-insurance-prelicensing-requirements-2026/,https://tsinational.com/alaska-insurance-ce-renewal-requirements/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-ak/,2026-07-20
AL,Alabama,https://tsinational.com/alabama-insurance-prelicensing-requirements-2026/,https://tsinational.com/insurance-ce-renewal-alabama-continuing-education-renewal-alabama-ce/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-al/,2026-07-20
AR,Arkansas,https://tsinational.com/arkansas-insurance-prelicensing-requirements-2026/,https://tsinational.com/arkansas-insurance-continuing-education-compliance-arkansas-rule-50-ce/,"course options available",https://tsinational.com/product/life-healthself-study-licensing-ar/,2026-07-20
AZ,Arizona,https://tsinational.com/arizona-insurance-prelicensing-requirements-2026/,https://tsinational.com/arizona-insurance-ce-renewal-requirements/,"course options available",https://tsinational.com/arizona-insurance-license-exam-prep/,2026-07-20
CA,California,https://tsinational.com/california-insurance-prelicensing-requirements-2026/,https://tsinational.com/california-insurance-continuing-education/,"course options available",https://tsinational.com/product/life-health-annuity-agent-licensing-ca/,2026-07-20
CO,Colorado,https://tsinational.com/colorado-insurance-prelicensing-requirements-2026/,https://tsinational.com/colorado-insurance-ce-renewal-requirements/,"not currently offered",,2026-07-20
CT,Connecticut,https://tsinational.com/connecticut-insurance-prelicensing-requirements-2026/,https://tsinational.com/connecticut-insurance-ce-renewal-requirements/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-ct/,2026-07-20
DE,Delaware,https://tsinational.com/delaware-insurance-prelicensing-requirements-2026/,https://tsinational.com/delaware-insurance-license-renewal/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-de/,2026-07-20
FL,Florida,https://tsinational.com/florida-insurance-prelicensing-requirements-2026/,https://tsinational.com/florida-insurance-ce-renewal-requirements/,"course options available",https://tsinational.com/florida-insurance-prelicensing-requirements-2026/,2026-07-20
GA,Georgia,https://tsinational.com/georgia-insurance-prelicensing-requirements-2026/,https://tsinational.com/georgia-insurance-continuing-education-georgia-ce-requirements-biennial/,"course options available",https://tsinational.com/product/life-health-annuity-agent-licensing-ga/,2026-07-20
HI,Hawaii,https://tsinational.com/hawaii-insurance-prelicensing-requirements-2026/,https://tsinational.com/hawaii-insurance-ce-renewal-requirements/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-hi/,2026-07-20
IA,Iowa,https://tsinational.com/iowa-insurance-prelicensing-requirements-2026/,https://tsinational.com/iowa-insurance-continuing-education-iowa-insurance-producer-licensing/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-ia/,2026-07-20
ID,Idaho,https://tsinational.com/idaho-insurance-prelicensing-requirements-2026/,https://tsinational.com/idaho-insurance-continuing-education-idaho-producer-ce-requirements-24/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-id/,2026-07-20
IL,Illinois,https://tsinational.com/illinois-insurance-prelicensing-requirements-2026/,https://tsinational.com/illinois-insurance-ce-renewal-requirements/,"course options available",https://tsinational.com/illinois-property-casualty-license-course/,2026-07-20
IN,Indiana,https://tsinational.com/indiana-insurance-prelicensing-requirements-2026/,https://tsinational.com/indiana-insurance-ce-renewal-requirements/,"course options available",https://tsinational.com/product/life-health-annuity-agent-licensing-in/,2026-07-20
KS,Kansas,https://tsinational.com/kansas-insurance-prelicensing-requirements-2026/,https://tsinational.com/kansas-insurance-continuing-education-kansas-ce-renewal-rules-90-day/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-ks/,2026-07-20
KY,Kentucky,https://tsinational.com/kentucky-insurance-prelicensing-requirements-2026/,https://tsinational.com/kentucky-insurance-licensing-and-ce-requirements/,"not currently offered",,2026-07-20
LA,Louisiana,https://tsinational.com/louisiana-insurance-prelicensing-requirements-2026/,https://tsinational.com/louisiana-insurance-continuing-education/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-la/,2026-07-20
MA,Massachusetts,https://tsinational.com/massachusetts-insurance-prelicensing-requirements-2026/,https://tsinational.com/massachusetts-insurance-ce-renewal-requirements/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-ma/,2026-07-20
MD,Maryland,https://tsinational.com/maryland-insurance-prelicensing-requirements-2026/,https://tsinational.com/maryland-insurance-continuing-education-maryland-producer-ce-requirements/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-md/,2026-07-20
ME,Maine,https://tsinational.com/maine-insurance-prelicensing-requirements-2026/,https://tsinational.com/maine-insurance-continuing-education/,"course options available",https://tsinational.com/product/property-casualty-agent-licensing-me/,2026-07-20
