"age","asian","black","divorced","educ","exper","faminc","female","hrswork","insure","married","mcaid","mcare","metro","midwest","nchild","northeast","single","south","union","wage","west","white"
45,0,0,0,13,26,39200,1,38,1,1,0,0,0,0,0,1,0,0,1,14.38,0,1
40,0,0,0,14,20,38400,0,40,0,1,0,0,0,0,0,1,0,0,0,10.5,0,1
63,0,0,0,18,39,902,1,40,1,1,0,0,0,0,0,1,0,0,0,21.63,0,1
61,0,0,1,16,39,0,0,40,1,0,0,0,0,0,0,1,0,0,0,18.5,0,1
46,0,0,0,12,28,48303,1,40,1,1,0,0,0,0,0,1,0,0,0,13.14,0,1
47,0,0,0,12,29,27376,0,40,1,1,0,0,0,0,0,1,0,0,0,20.88,0,1
22,0,0,0,12,4,10401,1,40,1,1,0,0,0,0,0,1,0,0,0,11.75,0,1
20,0,0,0,13,1,22001,0,40,1,1,0,0,0,0,0,1,0,0,0,10.32,0,1
56,0,0,0,16,34,40319,1,40,1,1,0,0,0,0,0,1,0,0,0,7.2,0,1
62,0,0,0,12,44,2,0,40,1,1,0,0,0,0,0,1,0,0,1,21,0,1
58,0,0,1,12,40,0,1,70,1,0,0,0,0,0,0,1,0,0,0,17.14,0,1
61,0,0,1,18,37,0,1,40,1,0,0,0,0,0,0,1,0,0,1,32.7,0,1
52,0,0,0,11,35,41000,0,42,1,1,0,0,0,0,2,1,0,0,1,23.5,0,1
50,0,0,0,16,28,3002,0,65,1,1,0,0,1,0,0,1,0,0,0,25.74,0,1
29,0,0,0,16,7,62131,0,60,1,1,0,0,1,0,0,1,0,0,0,11.7,0,1
29,1,0,0,18,5,13422,1,40,1,1,0,0,1,0,0,1,0,0,0,28.85,0,0
63,0,0,1,12,45,0,1,42,1,0,0,0,0,0,0,1,0,0,0,18.07,0,1
43,0,0,1,13,24,0,0,48,1,0,0,0,0,0,0,1,0,0,1,20,0,1
41,0,0,0,13,22,14040,0,40,1,1,0,0,0,0,1,1,0,0,0,11.44,0,1
38,0,0,0,12,20,0,0,40,1,1,0,0,0,0,1,1,0,0,0,22.5,0,1
27,0,0,0,12,9,0,0,40,1,0,0,0,0,0,2,1,1,0,1,26.25,0,1
71,0,0,1,14,51,0,0,35,1,0,0,1,0,0,0,1,0,0,0,10.71,0,1
47,0,0,0,16,25,27300,1,40,1,1,0,0,0,0,2,1,0,0,0,10,0,1
55,0,0,1,13,36,0,0,35,1,0,0,0,0,0,0,1,0,0,0,22,0,1
51,0,0,0,12,33,40705,1,40,1,1,0,0,0,0,1,1,0,0,0,7.35,0,1
71,0,0,0,12,53,39000,0,30,1,1,0,1,0,0,1,1,0,0,1,22.5,0,1
45,0,0,1,13,26,0,1,55,1,0,0,0,0,0,0,1,0,0,0,27.27,0,1
65,0,0,1,13,46,0,1,40,1,0,0,0,0,0,0,1,0,0,1,16.48,0,1
47,0,0,1,13,28,0,1,55,1,0,0,0,0,0,2,1,0,0,0,24.45,0,1
41,0,0,1,12,23,0,0,40,1,0,0,0,0,0,0,1,0,0,0,16,0,1
24,0,0,0,16,2,0,1,45,1,0,0,0,0,0,0,1,1,0,0,13.33,0,1
42,0,0,0,16,20,25000,0,40,1,1,0,0,0,0,2,1,0,0,0,72.1,0,1
39,0,0,0,18,15,50010,1,35,1,1,0,0,0,0,2,1,0,0,0,42,0,1
58,0,0,0,13,39,0,0,38,1,0,0,0,0,0,0,1,1,0,0,10.53,0,1
60,0,0,0,12,42,51000,1,38,1,1,0,0,0,0,0,1,0,0,0,11,0,1
58,0,0,0,16,36,48000,1,40,1,1,0,0,0,0,0,1,0,0,0,18.98,0,1
33,0,0,1,14,13,0,0,40,1,0,0,0,0,0,0,1,0,0,0,24.8,0,1
34,0,0,1,12,16,0,1,40,1,0,0,0,0,0,0,1,0,0,0,13,0,1
35,0,0,0,12,17,0,0,40,1,0,0,0,0,0,0,1,1,0,0,7.6,0,1
23,0,0,0,12,5,0,0,40,0,0,0,0,0,0,0,1,1,0,0,7.5,0,1
34,0,0,1,13,15,0,0,50,1,0,1,0,0,0,2,1,0,0,0,11,0,1
35,0,0,0,12,17,10799,0,40,1,1,0,0,0,0,2,1,0,0,1,17,0,1
49,0,0,1,12,31,0,1,40,0,0,1,0,0,0,1,1,0,0,0,10,0,1
34,0,0,0,13,15,1000,0,40,1,1,0,0,0,0,3,1,0,0,0,25,0,1
47,0,0,0,12,29,0,0,40,1,1,0,0,0,0,0,1,0,0,0,14.4,0,1
52,0,0,0,18,28,55042,0,40,1,1,0,0,0,0,1,1,0,0,0,57.67,0,1
52,0,0,0,18,28,50042,1,37,1,1,0,0,0,0,1,1,0,0,0,24,0,1
40,0,0,0,12,22,16501,0,40,1,1,0,0,0,0,2,1,0,0,0,20,0,1
50,0,0,1,13,31,0,1,52,1,0,0,0,0,0,0,1,0,0,0,12.58,0,1
56,0,0,0,12,38,77008,0,52,1,1,0,0,1,0,0,1,0,0,1,23.63,0,1
54,0,0,0,13,35,76008,1,40,1,1,0,0,1,0,0,1,0,0,0,25,0,1
64,0,0,0,12,46,1800,0,40,1,1,0,0,1,0,0,1,0,0,1,23,0,1
59,0,0,0,12,41,16302,0,40,1,1,0,0,1,0,0,1,0,0,0,25,0,1
45,0,0,0,12,27,40794,1,38,1,1,0,0,1,0,1,1,0,0,0,12.05,0,1
18,0,0,0,12,0,52899,0,40,1,0,0,0,1,0,0,1,1,0,0,8.5,0,1
54,0,0,0,16,32,68569,0,40,1,1,0,0,1,0,1,1,0,0,1,25,0,1
51,0,0,0,14,31,73769,1,45,1,1,0,0,1,0,1,1,0,0,0,20.93,0,1
36,0,0,0,14,16,43730,1,40,1,1,0,0,1,0,1,1,0,0,0,25,0,1
54,0,0,0,12,36,9700,0,40,0,1,0,0,1,0,0,1,0,0,0,18.5,0,1
47,0,0,0,13,28,8399,0,40,1,1,0,0,1,0,0,1,0,0,0,21.75,0,1
34,0,0,0,13,15,79940,1,45,1,1,0,0,0,0,2,1,0,0,0,17.7,0,1
