Country Name,Country Code,Region,IsCountry,Income group,Year,GenderEquality,PoliticalStability,GenderEducation,BirthSex,Income,PlanePassengers,PlaneDepartures,Electricity,PM2.5,CO2Emissions,Unemployment,Poverty,BattleDeaths,CompulsoryEducation,Literacy,Death,Alcohol,Diabetes,DeathsCD,DeathsNCD,GDP,Internet,Population,Rural,Urban,Suicide,Homicide,Military,LegalRights,Birth,Fertility,LandArea,ForestArea,RuralArea,UrbanArea,Density,TaxRevenue,Mobile,FixedTelephone,GovernmentExpenditure
Afghanistan,AFG,South Asia,1,Low income,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,South Asia,1,Low income,2021,NA,-2.52985525131226,NA,1.052,NA,293212.994,2865.737,NA,NA,NA,NA,NA,35786,9,37.266040802002,7.344,NA,10.9,NA,NA,14786861638.4535,NA,40099462,73.686,26.314,NA,4.02249785795131,NA,NA,35.842,4.643,NA,NA,NA,NA,NA,NA,22678024,145787,NA
Afghanistan,AFG,South Asia,1,Low income,2020,1.5,-2.70502972602844,0.38688999414444,1.052,NA,449041.025,4635.714,97.6999969482422,NA,NA,11.71,49.4,20475,9,NA,7.113,NA,NA,NA,NA,20143442150.971,18.4,38972230,73.974,26.026,NA,6.59443908400367,4.97282537449934,NA,36.051,4.75,652230,1.85278199408184,NA,NA,59.7522806371985,NA,22678024,145787,NA
Afghanistan,AFG,South Asia,1,Low income,2019,1.5,-2.65553116798401,NA,1.053,NA,1066747.35619248,7334,97.6999969482422,NA,0.16085016113134,11.085,NA,29940,9,NA,6.791,NA,NA,32.9304513537869,49.7810848710223,18904490262.913,17.6,37769499,74.246,25.754,4.1,7.18039716624779,4.27573619654266,10,36.466,4.87,652230,1.85278199408184,NA,NA,57.9082516903546,NA,22580071,134636,NA
Afghanistan,AFG,South Asia,1,Low income,2018,1.5,-2.76386427879334,0.345230013132095,1.053,NA,1125367,10454,96.6161346435547,NA,0.165366907058411,11.11,NA,25676,9,NA,6.981,0.21,NA,NA,NA,18418848299.5825,16.8,36686784,74.505,25.495,4.1,6.74357283538399,3.72485527466578,10,36.927,5.002,652230,1.85278199408184,NA,NA,56.2482314520951,NA,21976355,127794,NA
Afghanistan,AFG,South Asia,1,Low income,2017,1.5,-2.80108380317688,NA,1.054,NA,1647425,24207,97.6999969482422,56.9108083545081,0.134186906541903,11.18,NA,19014,9,NA,7.027,NA,NA,NA,NA,18896352021.94,13.5,35643418,74.75,25.25,4.1,6.80069468647332,3.65259208973618,9,37.342,5.129,652230,1.85278199408184,NA,NA,54.6485411587937,9.89845089688421,23929713,118769,NA
Afghanistan,AFG,South Asia,1,Low income,2016,1.5,-2.6710538864135702,NA,1.055,NA,1917924,22770,97.6999969482422,56.2870467224308,0.153120981174411,10.086,51.7,17985,9,NA,7.077,NA,NA,NA,NA,18019558181.9602,11,34636207,74.98,25.02,4,6.69241862002357,3.6802510519657,9,37.936,5.262,652230,1.85278199408184,NA,NA,53.1042837649295,9.50265278288094,21602982,114192,NA
Afghanistan,AFG,South Asia,1,Low income,2015,1.5,-2.57122182846069,NA,1.056,17785739175.8072,1929907,23532,71.5,61.2526557952932,0.176179956928317,8.989,NA,17273,9,NA,7.331,0.21,NA,39.3909806318543,44.2190527205372,19998156214.3988,8.26,33753499,75.197,24.803,4,9.97526212023234,3.83314218682084,9,38.803,5.405,652230,1.85278199408184,636173.22915,3993.83610705,51.7509145546816,7.58538233129798,19709038,110000,NA
Afghanistan,AFG,South Asia,1,Low income,2014,1.5,-2.41106843948364,0.275999993085861,1.056,NA,2209428,25920,89.5,59.0103302514867,0.14915052813269,7.91,NA,12284,9,NA,7.395,NA,NA,NA,NA,20550582746.8448,7,32716210,75.413,24.587,3.9,NA,5.10979266008033,9,39.105,5.56,652230,1.85278199408184,NA,NA,50.160541526762,6.88210294277301,18407168,101931,NA
Afghanistan,AFG,South Asia,1,Low income,2013,1.5,-2.51934909820557,NA,1.057,NA,2044188,21696,68.2906494140625,61.3667445152584,0.189816756865598,7.949,NA,8056,9,NA,7.478,NA,NA,NA,NA,20564485419.1684,5.9,31541209,75.627,24.373,4,NA,4.31176435442433,9,39.601,5.696,652230,1.85278199408184,NA,NA,48.3590282569032,7.12277329020889,16807156,95769,NA
